[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 22521        -0.25   0.19  -30.0  0.28  0.06  0.09  0.11  0.04   0.18  0.43  0.09  0.11  0.06  0.02  0.04 -0.15  0.07  0.05 -0.04  0.09 -0.06 -0.03 -0.02 -0.03  0.03  0.01  0.17
 22718        -0.19   0.18  -30.0  0.34  0.06  0.09  0.15  0.06   0.21  0.37  0.03  0.05  0.00 -0.04 -0.02 -30.0  0.01 -0.01 -0.01  0.03 -0.06 -0.05 -0.05 -0.13 -0.14 -0.03 -0.01
 23438        -0.36   0.21  -30.0  0.34  0.03  0.07  0.11  0.07   0.17 -30.0 -30.0 -30.0 -30.0  0.00 -30.0 -30.0 -30.0 -30.0 -0.07 -30.0 -0.09 -0.10 -0.07 -0.14 -0.07 -0.04  0.14
 24421        -0.38   0.05  -30.0  0.31  0.02  0.04  0.09  0.03   0.03  0.26  0.01  0.02  0.02 -0.02 -0.05 -30.0  0.04 -0.02 -0.09 -0.04 -0.06 -0.07 -0.07 -0.06 -0.10  0.04  0.09
 26421        -0.39   0.25  -30.0  0.36  0.01  0.12  0.16  0.07   0.10  0.47  0.06  0.01  0.04 -0.04 -0.01 -0.18 -0.03 -0.04 -0.09  0.03 -0.10 -0.16 -0.18 -0.19 -0.10  0.03  0.08
 27816        -0.54   0.10  -30.0  0.29  0.12  0.14  0.12  0.07 -30.0   0.38  0.10 -0.04  0.10  0.01 -0.03 -30.0  0.01 -0.01 -0.06  0.00  0.01 -0.15 -30.0 -0.07 -0.09 -30.0  0.07
 36066        -0.01   0.05   0.08  0.17 -0.01  0.11  0.05  0.02   0.06  0.14 -0.01  0.04 -0.01 -0.06  0.00 -0.10 -0.02 -30.0 -0.05 -0.03  0.03 -0.01  0.00  0.00 -0.05 -0.03  0.03
 36667        -0.45   0.34  -30.0  0.39  0.09  0.14  0.13  0.10   0.20  0.25  0.05  0.11  0.03 -0.04 -0.01 -0.16  0.01 -0.02 -0.05  0.14  0.33  0.38  0.33  0.47  0.26  0.40  0.14
 36909        -0.22   0.22  -30.0  0.30  0.00 -0.06  0.02  0.04   0.23  0.13 -0.01 -0.05 -0.07 -0.10 -0.06 -0.14 -0.11 -0.06 -0.16  0.01  0.00  0.09  0.01  0.11  0.08 -0.06 -30.0
 41640        -0.56   0.11  -30.0  0.26  0.09  0.10  0.09  0.06   0.10  0.23  0.03  0.01  0.04  0.00 -0.01 -0.21 -0.06 -0.03 -0.10  0.03 -0.04 -0.05 -0.09  0.02  0.08 -0.04 -30.0
 42618        -0.16   0.13  -30.0  0.18 -0.04 -0.07  0.00  0.01   0.12 -0.06 -0.02  0.11 -0.04 -0.05 -0.04 -0.07 -0.03 -0.02 -0.03  0.09 -0.10  0.10 -30.0  0.05  0.10  0.12 -30.0
 45067        -0.12   0.08   0.15  0.19  0.00  0.07  0.08  0.03   0.10  0.20 -0.01 -30.0  0.00 -0.07 -0.01 -0.08 -0.04 -0.02 -0.07  0.03  0.02 -0.06 -0.02 -0.05 -0.06 -0.02 -0.03
 52711        -0.20   0.16   0.21  0.25 -0.01  0.06  0.07  0.04   0.18  0.07 -0.02  0.09 -0.02 -0.06 -0.03 -0.06 -0.01 -0.01 -0.06  0.08 -0.01  0.05  0.07  0.02  0.07  0.12  0.08
 54182        -0.24   0.24   0.25  0.42  0.05  0.07  0.09  0.08   0.26  0.25  0.01  0.07 -0.02 -0.10 -0.02 -0.14 -0.05 -0.01 -0.10  0.09  0.01  0.06  0.11  0.04 -0.05  0.08 -30.0
 59360        -0.21   0.17  -30.0  0.34 -0.09  0.06  0.09  0.05   0.18  0.07  0.00  0.06 -0.02 -0.10 -0.04 -0.15 -0.04 -0.04 -0.10  0.05 -0.13 -0.06 -0.01 -0.07 -0.02  0.07  0.07
 63332         0.04  -0.01   0.04  0.17 -0.11  0.07  0.07  0.02  -0.01  0.14  0.01 -0.13 -0.04  0.14  0.00 -0.15 -0.12 -0.05 -0.27 -0.08 -30.0  0.08 -30.0  0.08 -0.01 -30.0 -30.0
 63333        -0.38   0.15   0.27  0.32  0.08  0.05  0.03  0.05   0.13  0.32  0.08  0.00  0.02 -0.02 -0.02 -0.19 -0.01 -0.02 -0.11  0.05  0.01 -0.02 -0.07  0.04 -0.04 -0.01  0.05
 69897        -0.25   0.04   0.17  0.20  0.04  0.10  0.00  0.05   0.00  0.31  0.00  0.00  0.03 -0.03  0.00 -0.14 -0.05 -0.04 -0.14  0.01  0.08  0.03 -30.0  0.16  0.03  0.06  0.05
 71148        -0.08   0.10   0.22  0.15 -0.02  0.04  0.03  0.01   0.14 -30.0 -0.03 -0.03 -0.02 -0.09 -0.01 -0.02 -0.03 -0.06 -0.04 -0.03 -0.03  0.00 -30.0 -0.14 -0.05 -30.0  0.01
 73400        -0.21   0.04  -30.0  0.21  0.00  0.10  0.13  0.04   0.00  0.28  0.08  0.06  0.11  0.06 -0.04 -0.15 -0.07 -0.03 -0.12 -0.03 -30.0  0.06 -0.04  0.09  0.04 -30.0  0.16
