[Fe/H] err   [FeII/H] err   [Mg/Fe] err   [Si/Fe] err   [Ca/Fe] err   [Ti/Fe] err    [TiII/Fe] err   [Na/Fe] err   [Sc/Fe] err   [V/Fe] err    [Cr/Fe] err   [CrII/Fe] err   [Mn/Fe] err   [Co/Fe] err   [Ni/Fe] err   [Cu/Fe] err   [Zn/Fe] err   [Sr/Fe] err   [Y/Fe]  err   [Zr/Fe] err   [Ba/Fe] err   [La/Fe] err   [Nd/Fe] err   [Sm/Fe] err   [Eu/Fe] err
-2.77  0.13   -2.78   0.11    0.24  0.08   -30.0 -30.0    0.30  0.08    0.14  0.07      0.18  0.08    -30.0 -30.0   -0.16  0.08   -30.0 -30.0   -0.17  0.14     0.16  0.07    -0.53  0.14    0.19  0.17   -0.04  0.11   -3.21 -30.0    0.18  0.13   -0.04  0.18   -0.26  0.09    0.20  0.09   -0.25  0.12   -30.0 -30.0    0.17  0.10    0.33  0.11    0.36  0.21 
-2.23  0.13   -2.23   0.12    0.37  0.09    0.52  0.11    0.38  0.08    0.26  0.08      0.25  0.08    -30.0 -30.0    0.03  0.07   -0.02  0.13   -0.16  0.07     0.13  0.08    -0.33  0.11   -30.0 -30.0    0.06  0.09   -0.94 -30.0    0.22  0.10   -30.0 -30.0   -0.32  0.09   -0.01  0.11   -0.30  0.14   -30.0 -30.0    0.12  0.10    0.31  0.10    0.42  0.10 
-1.34  0.19   -1.33   0.15    0.37  0.12    0.37  0.18    0.32  0.09    0.26  0.08      0.42  0.11     0.02  0.16    0.22  0.08   -0.06  0.15   -0.16  0.09     0.18  0.09    -0.20  0.11   -30.0 -30.0   -0.05  0.10   -30.0 -30.0    0.21  0.18   -30.0 -30.0    0.13  0.11   -30.0 -30.0    0.21  0.20    0.30  0.13    0.20  0.12    0.27  0.11    0.25  0.07 
-1.21  0.32   -1.19   0.76   -30.0 -30.0    0.32  0.20    0.10  0.34    0.39  0.37     -30.0 -30.0    -0.38  0.24    0.04  0.25   -0.17  0.21   -0.51  0.25     0.03  0.17    -0.22  0.13    0.16  0.23   -0.09  0.11    0.07  0.14    0.01  0.18   -30.0 -30.0    0.03  0.31   -30.0 -30.0   -0.03  0.34   -0.02  0.25    0.23  0.29    0.10  0.26   -0.48  0.22 
-1.90  0.10   -1.90   0.11    0.25  0.09    0.25  0.13    0.38  0.07    0.36  0.07      0.35  0.10    -0.27  0.10    0.01  0.10    0.59  0.20   -0.08  0.07     0.13  0.08    -0.34  0.07    0.04  0.11   -0.14  0.07   -30.0 -30.0    0.00  0.10    0.02  0.22   -0.21  0.13    0.06  0.10   -0.06  0.13   -30.0 -30.0    0.30  0.10   -30.0 -30.0    0.38  0.21 
-1.76  0.10   -1.76   0.11    0.14  0.07   -30.0 -30.0    0.29  0.07    0.29  0.07      0.32  0.08    -0.19  0.10    0.05  0.08    0.04  0.12   -0.13  0.07     0.07  0.09    -0.35  0.08    0.01  0.10   -0.13  0.09   -0.45 -30.0   -0.01  0.09    0.05  0.20   -0.25  0.09   -30.0 -30.0   -0.12  0.12    0.17  0.10    0.35  0.10   -30.0 -30.0    0.18  0.21 
-1.72  0.19   -1.71   0.14    0.30  0.12    0.26  0.17    0.23  0.08    0.17  0.09      0.38  0.13    -0.16  0.16    0.11  0.08   -0.05  0.13   -0.24  0.08     0.14  0.07    -0.26  0.09   -0.14  0.15   -0.14  0.10   -30.0 -30.0    0.06  0.20   -30.0 -30.0   -0.21  0.10    0.28  0.10    0.03  0.23    0.24  0.12    0.21  0.10    0.32  0.11    0.36  0.09 
-1.37  0.12   -1.49   0.11    0.10  0.10    0.14  0.13    0.10  0.07    0.27  0.07      0.40  0.09    -0.43  0.12    0.16  0.07    0.16  0.14   -0.03  0.07     0.17  0.07    -0.29  0.09   -30.0 -30.0   -0.11  0.10   -0.53  0.12   -0.03  0.16   -0.03  0.25   -0.02  0.11   -30.0 -30.0    0.17  0.16   -30.0 -30.0    0.66  0.08   -30.0 -30.0    0.40  0.06 
-0.93  0.12   -0.93   0.12   -0.01  0.10    0.05  0.13    0.03  0.08    0.22  0.08      0.35  0.07    -0.28  0.14    0.09  0.07    0.13  0.11   -0.05  0.07     0.18  0.07    -0.18  0.11   -30.0 -30.0   -0.13  0.10   -0.55  0.12   -0.04  0.13   -30.0 -30.0   -0.04  0.08   -30.0 -30.0    0.15  0.15    0.61  0.12    0.61  0.14    0.64  0.12    0.49  0.12 
-1.25  0.20   -1.24   0.17    0.35  0.12    0.29  0.19    0.33  0.08    0.22  0.10      0.43  0.17    -0.04  0.16    0.20  0.09   -0.11  0.16   -0.19  0.10     0.19  0.08    -0.25  0.10   -0.07  0.17   -0.09  0.10   -0.48  0.12    0.19  0.18   -30.0 -30.0    0.03  0.13   -30.0 -30.0    0.03  0.24    0.17  0.13    0.25  0.12    0.28  0.12    0.27  0.10 
-1.44  0.17   -1.43   0.14    0.26  0.12    0.25  0.16    0.31  0.08    0.19  0.07      0.32  0.09    -0.11  0.14    0.14  0.10    0.12  0.17   -0.22  0.07     0.17  0.07    -0.30  0.07   -0.09  0.16   -0.12  0.11   -0.72  0.12    0.05  0.17   -30.0 -30.0   -0.07  0.08    0.23  0.13    0.12  0.19    0.41  0.12    0.42  0.10    0.53  0.10    0.63  0.10 
-1.40  0.19   -1.44   0.15    0.27  0.14    0.33  0.16    0.18  0.08    0.09  0.10      0.33  0.16    -30.0 -30.0    0.05  0.15   -0.17  0.13   -0.51  0.10     0.02  0.08    -0.48  0.10   -0.09  0.20   -0.12  0.11   -0.56  0.12   -0.03  0.17   -30.0 -30.0   -0.21  0.09   -30.0 -30.0    0.12  0.25    0.05  0.14    0.10  0.12    0.19  0.14   -0.25  0.21 
-1.94  0.15   -1.92   0.12    0.21  0.09    0.30  0.13    0.23  0.09    0.22  0.08      0.35  0.08    -0.15  0.15    0.03  0.07   -30.0 -30.0   -0.16  0.08     0.19  0.06    -0.35  0.10   -30.0 -30.0   -0.06  0.10   -1.00  0.12    0.13  0.14   -30.0 -30.0   -0.38  0.08   -30.0 -30.0   -0.48  0.13   -0.28  0.12   -0.04  0.10   -0.05  0.11   -0.15  0.13 
-2.19  0.15   -2.19   0.12    0.33  0.10   -30.0 -30.0    0.28  0.09    0.26  0.07      0.36  0.08    -30.0 -30.0    0.17  0.09   -30.0 -30.0   -0.22  0.12     0.15  0.08    -0.54  0.14   -30.0 -30.0   -0.14  0.11   -4.70 -30.0    0.08  0.15   -30.0 -30.0   -0.10  0.09   -30.0 -30.0    0.04  0.15    0.80  0.14    0.43  0.12    1.00  0.14    0.48  0.11 
-2.43  0.19   -2.41   0.12    0.36  0.11   -30.0 -30.0    0.18  0.09    0.12  0.10      0.30  0.09    -30.0 -30.0    0.00  0.09   -0.19  0.14   -0.20  0.07     0.21  0.12    -0.17  0.12   -30.0 -30.0   -0.02  0.10   -0.75  0.12    0.51  0.20   -30.0 -30.0   -0.57  0.10   -0.22  0.12   -0.52  0.20   -30.0 -30.0   -0.24  0.12   -0.18  0.22   -0.03  0.08 
-2.26  0.08   -2.26   0.12    0.25  0.06   -30.0 -30.0    0.34  0.07    0.58  0.10      0.58  0.08    -30.0 -30.0    0.33  0.09   -30.0 -30.0   -0.08  0.08     0.30  0.09    -0.46  0.08    0.30  0.11    0.14  0.09   -30.0 -30.0   -30.0 -30.0    0.23  0.20   -30.0 -30.0   -30.0 -30.0   -0.07  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.36  0.13   -1.38   0.10    0.19  0.13    0.21  0.16    0.14  0.09    0.29  0.08      0.44  0.10    -0.10  0.12    0.10  0.07    0.05  0.14   -0.13  0.08     0.20  0.09    -0.24  0.17   -30.0 -30.0   -0.11  0.10   -30.0 -30.0    0.10  0.16   -0.05  0.20    0.04  0.12   -30.0 -30.0   -0.00  0.20   -30.0 -30.0    0.71  0.12   -30.0 -30.0    0.48  0.21 
-1.45  0.11   -1.66   0.11    0.07  0.13    0.00  0.15    0.08  0.09    0.28  0.07      0.44  0.10    -0.39  0.14    0.23  0.08    0.26  0.13   -0.04  0.08     0.25  0.07    -0.29  0.08   -30.0 -30.0   -0.13  0.08   -0.45  0.12   -0.01  0.16   -30.0 -30.0    0.06  0.12   -30.0 -30.0    0.19  0.15   -30.0 -30.0    0.84  0.12   -30.0 -30.0    0.75  0.21 
90.00  9.00   90.00   0.00    1111  0.00    2222  0.00    3333  0.00    4444  0.00      5555  0.00    -0.18  0.14    0.20  0.07   -30.0 -30.0   -0.12  0.07     0.15  0.07    -0.23  0.09   -30.0 -30.0   -0.10  0.09   -1.30 -30.0   -0.01  0.11    0.06  0.20   -0.04  0.09   -30.0 -30.0    0.06  0.15   -30.0 -30.0    0.50  0.10   -30.0 -30.0    0.55  0.21 
-0.64  0.10   -0.80   0.12    0.10  0.08    0.03  0.11    0.02  0.07    0.34  0.08      0.43  0.09     0.04  0.11    0.41  0.07    0.24  0.15   -0.07  0.10     0.14  0.07    -0.05  0.14   -30.0 -30.0   -0.05  0.07    0.12  0.12    0.05  0.10   -30.0 -30.0    0.07  0.07   -30.0 -30.0    0.19  0.13   -30.0 -30.0    0.78  0.17    0.59  0.12    0.69  0.11 
-1.38  0.14   -1.36   0.13    0.19  0.11    0.14  0.15    0.21  0.08    0.28  0.08      0.38  0.08    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-2.37  0.17   -2.41   0.12    0.43  0.09    0.33  0.14    0.30  0.09    0.16  0.08      0.28  0.09    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-2.02  0.15   -2.02   0.12    0.29  0.09    0.29  0.14    0.29  0.08    0.20  0.08      0.24  0.07    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.91  0.17   -1.91   0.13    0.29  0.12    0.31  0.15    0.25  0.08    0.18  0.09      0.24  0.09    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.53  0.18   -1.45   0.18    0.18  0.11    0.33  0.18    0.12  0.10    0.14  0.15      0.03  0.14    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.62  0.17   -1.61   0.14    0.29  0.12    0.31  0.15    0.28  0.09    0.20  0.07      0.34  0.10    -0.25  0.14    0.13  0.07   -0.12  0.13   -0.22  0.06     0.18  0.08    -0.36  0.09   -30.0 -30.0   -0.14  0.11   -30.0 -30.0    0.04  0.17   -30.0 -30.0   -0.09  0.08    0.07  0.14    0.13  0.20    0.34  0.11    0.31  0.10    0.42  0.10    0.42  0.06 
-2.16  0.15   -2.17   0.12    0.37  0.09    0.35  0.14    0.29  0.09    0.18  0.08      0.25  0.09    -0.35  0.15   -0.02  0.08   -30.0 -30.0   -0.28  0.09     0.09  0.07    -0.49  0.10   -30.0 -30.0   -0.10  0.10   -30.0 -30.0    0.09  0.15   -30.0 -30.0   -0.31  0.09    0.06  0.12   -0.43  0.14   -30.0 -30.0   -0.08  0.10    0.07  0.10    0.03  0.06 
-1.47  0.10   -1.48   0.11    0.16  0.08    0.29  0.09    0.31  0.07    0.37  0.07      0.43  0.08    -0.29  0.11    0.18  0.07    0.12  0.12   -0.08  0.07     0.14  0.08    -0.26  0.09    0.09  0.11   -0.12  0.08   -30.0 -30.0    0.05  0.09    0.01  0.22   -0.07  0.09    0.31  0.10    0.07  0.14   -30.0 -30.0    0.51  0.10   -30.0 -30.0    0.39  0.21 
