[Fe/H] [FeII/H] [Obrac/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Si/Fe] [Ca/Fe] [Ti/Fe] [TiII/Fe] [alpha/Fe] [Sc/Fe] [V/Fe] [Cr/Fe] [CrII/Fe] [Mn/Fe] [Ni/Fe] [Zn/Fe]
-0.79 -0.09 -30.0 -30.0 0.17 0.49 0.29 0.26 0.21 0.19 0.31 -30.0 0.10 -0.01 -30.0 -30.0 -0.04 -30.0
-1.38 0.04 -30.0 -30.0 0.07 0.62 0.46 0.36 0.35 0.31 0.44 -30.0 0.13 0.01 -30.0 -30.0 -0.02 -30.0
-0.57 -0.09 -30.0 -30.0 0.16 0.49 0.29 0.26 0.25 0.18 0.31 -30.0 0.03 0.02 -30.0 -30.0 -0.01 -30.0
-0.41 -0.06 -30.0 -30.0 0.01 0.20 0.04 0.05 -0.06 -0.08 0.05 -30.0 -0.05 -0.08 -30.0 -30.0 -0.11 -30.0
-0.49 -0.05 -30.0 0.44 0.04 0.37 0.20 0.26 0.37 0.32 0.29 0.26 0.32 0.04 0.03 -0.12 -0.02 0.08
-0.55 -0.08 -30.0 -30.0 0.12 0.45 0.26 0.28 0.24 0.24 0.31 -30.0 0.10 0.00 -30.0 -30.0 0.01 -30.0
-0.78 -0.12 -30.0 -30.0 0.21 0.60 0.34 0.38 0.25 0.16 0.38 -30.0 0.04 0.02 -30.0 -30.0 -0.07 -30.0
-0.84 0.00 -30.0 0.45 0.18 0.52 0.34 0.31 0.22 0.33 0.36 0.01 0.09 -0.04 -0.02 -0.35 0.03 0.23
-0.54 -0.04 -30.0 -30.0 0.04 0.33 0.18 0.17 0.12 0.15 0.20 -30.0 -0.07 -0.04 -30.0 -30.0 -0.11 -30.0
-2.37 0.04 -30.0 0.74 -30.0 0.49 -30.0 0.39 0.40 0.44 0.43 -0.05 -30.0 0.05 -0.06 -0.41 0.45 0.36
-1.36 -0.08 -30.0 -30.0 -0.18 0.41 0.17 0.36 0.17 0.08 0.27 -30.0 0.04 0.00 -30.0 -30.0 -0.11 -30.0
-0.88 -0.10 -30.0 -30.0 0.08 0.49 0.37 0.34 0.23 0.25 0.36 -30.0 0.09 -0.05 -30.0 -30.0 -0.04 -30.0
-1.19 0.08 -30.0 0.78 0.11 0.66 0.63 0.32 0.23 0.24 0.46 -30.0 0.15 -0.04 0.16 -0.38 0.05 0.19
-1.54 -0.18 0.59 0.74 -0.08 0.47 0.34 0.37 0.28 0.35 0.37 0.08 -30.0 -0.12 -0.05 -0.35 -0.01 0.13
-0.51 -0.09 -30.0 -30.0 0.12 0.28 0.17 0.14 0.04 0.07 0.16 -30.0 0.06 -0.05 -30.0 -30.0 -0.05 -30.0
-0.46 -0.11 -30.0 -30.0 0.04 0.22 0.08 0.10 0.01 0.01 0.10 -30.0 -0.07 -0.06 -30.0 -30.0 -0.08 -30.0
-0.71 -0.11 -30.0 -30.0 0.13 0.44 0.26 0.30 0.21 0.10 0.29 -30.0 -0.02 -0.06 -30.0 -30.0 -0.07 -30.0
-1.22 -0.04 -30.0 -30.0 0.14 0.53 0.36 0.40 0.22 0.18 0.37 -30.0 0.16 -0.06 -30.0 -30.0 -0.06 -30.0
-1.81 -0.10 -30.0 0.63 0.05 0.49 0.38 0.29 0.26 0.36 0.37 -0.14 -30.0 -0.08 0.20 -0.42 -30.0 0.01
-0.55 -0.13 -30.0 -30.0 0.12 0.49 0.25 0.23 0.21 0.19 0.29 -30.0 0.04 -0.04 -30.0 -30.0 -0.06 -30.0
-0.39 -0.07 -30.0 -30.0 0.05 0.26 0.07 0.14 0.00 0.02 0.12 -30.0 -0.07 -0.03 -30.0 -30.0 -0.07 -30.0
-1.45 -0.19 -30.0 0.79 -0.37 0.19 0.21 0.25 0.20 0.13 0.20 -0.18 0.12 -0.01 0.07 -0.40 -0.18 0.04
-1.18 -0.05 0.50 0.52 -0.13 0.51 0.36 0.35 0.21 0.26 0.36 -0.01 0.13 -0.10 -0.09 -0.40 -0.03 0.34
-2.10 -30.0 -30.0 -30.0 -30.0 0.49 -30.0 0.26 0.29 0.11 0.32 -30.0 -30.0 -0.10 -30.0 -30.0 0.20 0.10
-1.46 -0.03 -30.0 0.88 -0.07 0.49 0.34 0.39 0.23 0.37 0.38 0.06 0.02 -0.07 0.06 -0.42 -0.06 0.05
