&Zr-96    &8.266e-10  &0.000e+00  &40 &96
&Nb-93    &1.890e-09  &0.000e+00  &41 &93
&Mo-100   &7.275e-10  &0.000e+00  &42 &100
&Mo-92    &1.031e-09  &0.000e+00  &42 &92
&Mo-94    &6.563e-10  &0.000e+00  &42 &94
&Mo-95    &1.142e-09  &0.000e+00  &42 &95
&Mo-96    &1.209e-09  &0.000e+00  &42 &96
&Mo-97    &6.999e-10  &0.000e+00  &42 &97
&Mo-98    &1.786e-09  &0.000e+00  &42 &98
&Ru-100   &6.142e-10  &0.000e+00  &44 &100
&Ru-101   &8.401e-10  &0.000e+00  &44 &101
&Ru-102   &1.569e-09  &0.000e+00  &44 &102
&Ru-104   &9.442e-10  &0.000e+00  &44 &104
&Ru-96    &2.594e-10  &0.000e+00  &44 &96
&Ru-98    &8.929e-11  &0.000e+00  &44 &98
&Ru-99    &6.158e-10  &0.000e+00  &44 &99
&Rh-103   &1.002e-09  &0.000e+00  &45 &103
&Pd-104   &4.530e-10  &0.000e+00  &46 &104
&Pd-105   &9.167e-10  &0.000e+00  &46 &105
&Pd-106   &1.133e-09  &0.000e+00  &46 &106
&Pd-108   &1.117e-09  &0.000e+00  &46 &108
&Pd-110   &4.857e-10  &0.000e+00  &46 &110
&Ag-107   &7.279e-10  &0.000e+00  &47 &107
&Ag-109   &6.889e-10  &0.000e+00  &47 &109
&Cd-108   &4.082e-11  &0.000e+00  &48 &108
&Cd-110   &5.835e-10  &0.000e+00  &48 &110
&Cd-111   &6.034e-10  &0.000e+00  &48 &111
&Cd-112   &1.148e-09  &0.000e+00  &48 &112
&Cd-113   &5.864e-10  &0.000e+00  &48 &113
&Cd-114   &1.391e-09  &0.000e+00  &48 &114
&Cd-116   &3.690e-10  &0.000e+00  &48 &116
&In-113   &2.363e-11  &0.000e+00  &49 &113
&In-115   &5.367e-10  &0.000e+00  &49 &115
&Sn-114   &7.479e-11  &0.000e+00  &50 &114
&Sn-115   &3.881e-11  &0.000e+00  &50 &115
&Sn-116   &1.679e-09  &0.000e+00  &50 &116
&Sn-117   &8.941e-10  &0.000e+00  &50 &117
&Sn-118   &2.846e-09  &0.000e+00  &50 &118
&Sn-119   &1.017e-09  &0.000e+00  &50 &119
&Sn-120   &3.894e-09  &0.000e+00  &50 &120
&Sn-122   &5.623e-10  &0.000e+00  &50 &122
&Sn-124   &7.147e-10  &0.000e+00  &50 &124
&Sb-121   &6.143e-10  &0.000e+00  &51 &121
&Sb-123   &4.670e-10  &0.000e+00  &51 &123
&Te-122   &4.073e-10  &0.000e+00  &52 &122
&Te-123   &1.432e-10  &0.000e+00  &52 &123
&Te-124   &7.660e-10  &0.000e+00  &52 &124
&Te-125   &1.145e-09  &0.000e+00  &52 &125
&Te-126   &3.063e-09  &0.000e+00  &52 &126
&Te-128   &5.202e-09  &0.000e+00  &52 &128
&Te-130   &5.636e-09  &0.000e+00  &52 &130
&I-127    &3.403e-09  &0.000e+00  &53 &127
&Xe-128   &4.108e-10  &0.000e+00  &54 &128
&Xe-129   &5.098e-09  &0.000e+00  &54 &129
&Xe-130   &8.195e-10  &0.000e+00  &54 &130
&Xe-131   &4.110e-09  &0.000e+00  &54 &131
&Xe-132   &5.008e-09  &0.000e+00  &54 &132
&Xe-134   &1.863e-09  &0.000e+00  &54 &134
&Xe-136   &1.540e-09  &0.000e+00  &54 &136
&Cs-133   &1.294e-09  &0.000e+00  &55 &133
&Ba-134   &3.877e-10  &0.000e+00  &56 &134
&Ba-135   &1.065e-09  &0.000e+00  &56 &135
&Ba-136   &1.279e-09  &0.000e+00  &56 &136
&Ba-137   &1.842e-09  &0.000e+00  &56 &137
&Ba-138   &1.184e-08  &0.000e+00  &56 &138
&La-139   &1.625e-09  &0.000e+00  &57 &139
&Ce-140   &3.899e-09  &0.000e+00  &58 &140
&Ce-142   &4.970e-10  &0.000e+00  &58 &142
&Pr-141   &6.567e-10  &0.000e+00  &59 &141
&Nd-142   &8.597e-10  &0.000e+00  &60 &142
&Nd-143   &3.886e-10  &0.000e+00  &60 &143
&Nd-144   &7.650e-10  &0.000e+00  &60 &144
&Nd-145   &2.683e-10  &0.000e+00  &60 &145
&Nd-146   &5.589e-10  &0.000e+00  &60 &146
&Nd-148   &1.894e-10  &0.000e+00  &60 &148
&Nd-150   &1.876e-10  &0.000e+00  &60 &150
&Sm-144   &3.049e-11  &0.000e+00  &62 &144
&Sm-147   &1.518e-10  &0.000e+00  &62 &147
&Sm-148   &1.146e-10  &0.000e+00  &62 &148
&Sm-149   &1.419e-10  &0.000e+00  &62 &149
&Sm-150   &7.626e-11  &0.000e+00  &62 &150
&Sm-152   &2.801e-10  &0.000e+00  &62 &152
&Sm-154   &2.414e-10  &0.000e+00  &62 &154
&Eu-151   &1.848e-10  &0.000e+00  &63 &151
&Eu-153   &2.044e-10  &0.000e+00  &63 &153
&Gd-152   &2.737e-12  &0.000e+00  &64 &152
&Gd-154   &2.981e-11  &0.000e+00  &64 &154
&Gd-155   &2.036e-10  &0.000e+00  &64 &155
&Gd-156   &2.834e-10  &0.000e+00  &64 &156
&Gd-157   &2.181e-10  &0.000e+00  &64 &157
&Gd-158   &3.483e-10  &0.000e+00  &64 &158
&Gd-160   &3.105e-10  &0.000e+00  &64 &160
&Tb-159   &2.510e-10  &0.000e+00  &65 &159
&Dy-160   &3.905e-11  &0.000e+00  &66 &160
&Dy-161   &3.175e-10  &0.000e+00  &66 &161
&Dy-162   &4.310e-10  &0.000e+00  &66 &162
&Dy-163   &4.233e-10  &0.000e+00  &66 &163
&Dy-164   &4.821e-10  &0.000e+00  &66 &164
&Ho-165   &3.942e-10  &0.000e+00  &67 &165
&Er-164   &1.818e-11  &0.000e+00  &68 &164
&Er-166   &3.844e-10  &0.000e+00  &68 &166
&Er-167   &2.639e-10  &0.000e+00  &68 &167
&Er-168   &3.101e-10  &0.000e+00  &68 &168
&Er-170   &1.748e-10  &0.000e+00  &68 &170
&Tm-169   &1.683e-10  &0.000e+00  &69 &169
&Yb-170   &3.480e-11  &0.000e+00  &70 &170
&Yb-171   &1.644e-10  &0.000e+00  &70 &171
&Yb-172   &2.529e-10  &0.000e+00  &70 &172
&Yb-173   &1.879e-10  &0.000e+00  &70 &173
&Yb-174   &3.730e-10  &0.000e+00  &70 &174
&Yb-176   &1.512e-10  &0.000e+00  &70 &176
&Lu-175   &1.622e-10  &0.000e+00  &71 &175
&Lu-176   &2.657e-12  &0.000e+00  &71 &176
&Hf-176   &4.374e-11  &0.000e+00  &72 &176
&Hf-177   &1.499e-10  &0.000e+00  &72 &177
&Hf-178   &2.211e-10  &0.000e+00  &72 &178
&Hf-179   &1.110e-10  &0.000e+00  &72 &179
&Hf-180   &2.875e-10  &0.000e+00  &72 &180
&Ta-180   &1.000e-50  &0.000e+00  &73 &180
&Ta-181   &1.014e-10  &0.000e+00  &73 &181
&W-180    &7.448e-13  &0.000e+00  &74 &180
&W-182    &1.666e-10  &0.000e+00  &74 &182
&W-183    &9.047e-11  &0.000e+00  &74 &183
&W-184    &1.947e-10  &0.000e+00  &74 &184
&W-186    &1.826e-10  &0.000e+00  &74 &186
&Re-185   &9.735e-11  &0.000e+00  &75 &185
&Re-187   &7.828e-11  &0.000e+00  &75 &187
&Os-186   &5.368e-11  &0.000e+00  &76 &186
&Os-187   &1.422e-10  &0.000e+00  &76 &187
&Os-188   &4.528e-10  &0.000e+00  &76 &188
&Os-189   &5.550e-10  &0.000e+00  &76 &189
&Os-190   &9.073e-10  &0.000e+00  &76 &190
&Os-192   &1.424e-09  &0.000e+00  &76 &192
&Ir-191   &1.232e-09  &0.000e+00  &77 &191
&Ir-193   &2.096e-09  &0.000e+00  &77 &193
&Pt-192   &5.435e-11  &0.000e+00  &78 &192
&Pt-194   &2.313e-09  &0.000e+00  &78 &194
&Pt-195   &2.386e-09  &0.000e+00  &78 &195
&Pt-196   &1.790e-09  &0.000e+00  &78 &196
&Pt-198   &5.131e-10  &0.000e+00  &78 &198
&Au-197   &1.030e-09  &0.000e+00  &79 &197
&Hg-198   &2.206e-10  &0.000e+00  &80 &198
&Hg-199   &3.753e-10  &0.000e+00  &80 &199
&Hg-200   &5.163e-10  &0.000e+00  &80 &200
&Hg-201   &2.962e-10  &0.000e+00  &80 &201
&Hg-202   &6.743e-10  &0.000e+00  &80 &202
&Hg-204   &1.566e-10  &0.000e+00  &80 &204
&Tl-203   &2.993e-10  &0.000e+00  &81 &203
&Tl-205   &7.214e-10  &0.000e+00  &81 &205
&Pb-204   &3.508e-10  &0.000e+00  &82 &204
&Pb-206   &3.349e-09  &0.000e+00  &82 &206
&Pb-207   &3.698e-09  &0.000e+00  &82 &207
&Pb-208   &1.059e-08  &0.000e+00  &82 &208
&Bi-209   &7.737e-10  &0.000e+00  &83 &209
H Table: (M=1.5,Z=0.05)
H Lifetime: 2.840e+09
H Mfinal: 6.327e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.944e-01  &0.000e+00  &1  &1
&H-2      &1.000e-30  &0.000e+00  &1  &2
&He-3     &1.000e-30  &0.000e+00  &2  &3
&He-4     &2.538e-01  &0.000e+00  &2  &4
&Li-6     &1.000e-30  &0.000e+00  &3  &6
&Li-7     &1.000e-30  &0.000e+00  &3  &7
&Be-9     &1.000e-30  &0.000e+00  &4  &9
&B-10     &1.000e-30  &0.000e+00  &5  &10
&B-11     &1.000e-30  &0.000e+00  &5  &11
&C-12     &3.374e-03  &0.000e+00  &6  &12
&C-13     &8.834e-05  &0.000e+00  &6  &13
&N-14     &1.900e-03  &0.000e+00  &7  &14
&N-15     &2.237e-06  &0.000e+00  &7  &15
&O-16     &7.613e-03  &0.000e+00  &8  &16
&O-17     &7.718e-06  &0.000e+00  &8  &17
&O-18     &1.360e-05  &0.000e+00  &8  &18
&F-19     &6.463e-07  &0.000e+00  &9  &19
&Ne-20    &1.344e-03  &0.000e+00  &10 &20
&Ne-21    &3.392e-06  &0.000e+00  &10 &21
&Ne-22    &2.408e-04  &0.000e+00  &10 &22
&Na-23    &4.939e-05  &0.000e+00  &11 &23
&Mg-24    &6.727e-04  &0.000e+00  &12 &24
&Mg-25    &8.812e-05  &0.000e+00  &12 &25
&Mg-26    &1.020e-04  &0.000e+00  &12 &26
&Al-27    &7.618e-05  &0.000e+00  &13 &27
&Si-28    &8.737e-04  &0.000e+00  &14 &28
&Si-29    &4.596e-05  &0.000e+00  &14 &29
&Si-30    &3.146e-05  &0.000e+00  &14 &30
&P-31     &8.216e-06  &0.000e+00  &15 &31
&S-32     &4.593e-04  &0.000e+00  &16 &32
&S-33     &3.758e-06  &0.000e+00  &16 &33
&S-34     &2.174e-05  &0.000e+00  &16 &34
&S-36     &9.830e-08  &0.000e+00  &16 &36
&Cl-35    &4.702e-06  &0.000e+00  &17 &35
&Cl-37    &1.641e-06  &0.000e+00  &17 &37
&Ar-36    &1.053e-04  &0.000e+00  &18 &36
&Ar-38    &2.027e-05  &0.000e+00  &18 &38
&Ar-40    &3.748e-08  &0.000e+00  &18 &40
&K-39     &4.374e-06  &0.000e+00  &19 &39
&K-40     &3.386e-09  &0.000e+00  &19 &40
&K-41     &3.419e-07  &0.000e+00  &19 &41
&Ca-40    &7.897e-05  &0.000e+00  &20 &40
&Ca-42    &5.612e-07  &0.000e+00  &20 &42
&Ca-43    &1.196e-07  &0.000e+00  &20 &43
&Ca-44    &1.874e-06  &0.000e+00  &20 &44
&Ca-46    &4.033e-09  &0.000e+00  &20 &46
&Ca-48    &1.829e-07  &0.000e+00  &20 &48
&Sc-45    &5.266e-08  &0.000e+00  &21 &45
&Ti-46    &3.091e-07  &0.000e+00  &22 &46
&Ti-47    &2.833e-07  &0.000e+00  &22 &47
&Ti-48    &2.865e-06  &0.000e+00  &22 &48
&Ti-49    &2.205e-07  &0.000e+00  &22 &49
&Ti-50    &2.179e-07  &0.000e+00  &22 &50
&V-50     &1.214e-09  &0.000e+00  &23 &50
&V-51     &4.957e-07  &0.000e+00  &23 &51
&Cr-50    &9.655e-07  &0.000e+00  &24 &50
&Cr-52    &1.941e-05  &0.000e+00  &24 &52
&Cr-53    &2.241e-06  &0.000e+00  &24 &53
&Cr-54    &5.855e-07  &0.000e+00  &24 &54
&Mn-55    &1.699e-05  &0.000e+00  &25 &55
&Fe-54    &9.271e-05  &0.000e+00  &26 &54
&Fe-56    &1.512e-03  &0.000e+00  &26 &56
&Fe-57    &3.606e-05  &0.000e+00  &26 &57
&Fe-58    &5.503e-06  &0.000e+00  &26 &58
&Co-59    &4.623e-06  &0.000e+00  &27 &59
&Ni-58    &6.375e-05  &0.000e+00  &28 &58
&Ni-60    &2.555e-05  &0.000e+00  &28 &60
&Ni-61    &1.172e-06  &0.000e+00  &28 &61
&Ni-62    &3.712e-06  &0.000e+00  &28 &62
&Ni-64    &1.019e-06  &0.000e+00  &28 &64
&Cu-63    &8.123e-07  &0.000e+00  &29 &63
&Cu-65    &3.772e-07  &0.000e+00  &29 &65
&Zn-64    &1.331e-06  &0.000e+00  &30 &64
&Zn-66    &8.013e-07  &0.000e+00  &30 &66
&Zn-67    &1.210e-07  &0.000e+00  &30 &67
&Zn-68    &5.665e-07  &0.000e+00  &30 &68
&Zn-70    &1.846e-08  &0.000e+00  &30 &70
&Ga-69    &5.539e-08  &0.000e+00  &31 &69
&Ga-71    &3.926e-08  &0.000e+00  &31 &71
&Ge-70    &6.816e-08  &0.000e+00  &32 &70
&Ge-72    &8.931e-08  &0.000e+00  &32 &72
&Ge-73    &2.524e-08  &0.000e+00  &32 &73
&Ge-74    &1.242e-07  &0.000e+00  &32 &74
&Ge-76    &2.298e-08  &0.000e+00  &32 &76
&As-75    &1.687e-08  &0.000e+00  &33 &75
&Se-76    &2.012e-08  &0.000e+00  &34 &76
&Se-77    &1.492e-08  &0.000e+00  &34 &77
&Se-78    &5.268e-08  &0.000e+00  &34 &78
&Se-80    &1.036e-07  &0.000e+00  &34 &80
&Se-82    &1.541e-08  &0.000e+00  &34 &82
&Br-79    &1.725e-08  &0.000e+00  &35 &79
&Br-81    &1.794e-08  &0.000e+00  &35 &81
&Kr-80    &4.167e-09  &0.000e+00  &36 &80
&Kr-82    &2.456e-08  &0.000e+00  &36 &82
&Kr-83    &2.014e-08  &0.000e+00  &36 &83
&Kr-84    &1.034e-07  &0.000e+00  &36 &84
&Kr-86    &2.993e-08  &0.000e+00  &36 &86
&Rb-85    &1.651e-08  &0.000e+00  &37 &85
&Rb-87    &6.605e-09  &0.000e+00  &37 &87
&Sr-86    &1.370e-08  &0.000e+00  &38 &86
&Sr-87    &9.488e-09  &0.000e+00  &38 &87
&Sr-88    &1.341e-07  &0.000e+00  &38 &88
&Y-89     &2.834e-08  &0.000e+00  &39 &89
&Zr-90    &3.288e-08  &0.000e+00  &40 &90
&Zr-91    &7.233e-09  &0.000e+00  &40 &91
&Zr-92    &1.118e-08  &0.000e+00  &40 &92
&Zr-94    &1.306e-08  &0.000e+00  &40 &94
&Zr-96    &1.232e-09  &0.000e+00  &40 &96
&Nb-93    &4.226e-09  &0.000e+00  &41 &93
&Mo-100   &9.308e-10  &0.000e+00  &42 &100
&Mo-92    &1.297e-09  &0.000e+00  &42 &92
&Mo-94    &8.573e-10  &0.000e+00  &42 &94
&Mo-95    &2.122e-09  &0.000e+00  &42 &95
&Mo-96    &2.869e-09  &0.000e+00  &42 &96
&Mo-97    &1.343e-09  &0.000e+00  &42 &97
&Mo-98    &3.878e-09  &0.000e+00  &42 &98
&Ru-100   &1.582e-09  &0.000e+00  &44 &100
&Ru-101   &1.233e-09  &0.000e+00  &44 &101
&Ru-102   &3.030e-09  &0.000e+00  &44 &102
&Ru-104   &1.201e-09  &0.000e+00  &44 &104
&Ru-96    &3.260e-10  &0.000e+00  &44 &96
&Ru-98    &1.124e-10  &0.000e+00  &44 &98
&Ru-99    &9.951e-10  &0.000e+00  &44 &99
&Rh-103   &1.453e-09  &0.000e+00  &45 &103
&Pd-104   &1.167e-09  &0.000e+00  &46 &104
&Pd-105   &1.308e-09  &0.000e+00  &46 &105
&Pd-106   &2.104e-09  &0.000e+00  &46 &106
&Pd-108   &2.235e-09  &0.000e+00  &46 &108
&Pd-110   &6.201e-10  &0.000e+00  &46 &110
&Ag-107   &1.050e-09  &0.000e+00  &47 &107
&Ag-109   &1.105e-09  &0.000e+00  &47 &109
&Cd-108   &5.489e-11  &0.000e+00  &48 &108
&Cd-110   &1.416e-09  &0.000e+00  &48 &110
&Cd-111   &9.940e-10  &0.000e+00  &48 &111
&Cd-112   &2.273e-09  &0.000e+00  &48 &112
&Cd-113   &9.863e-10  &0.000e+00  &48 &113
&Cd-114   &2.921e-09  &0.000e+00  &48 &114
&Cd-116   &4.824e-10  &0.000e+00  &48 &116
&In-113   &2.972e-11  &0.000e+00  &49 &113
&In-115   &9.075e-10  &0.000e+00  &49 &115
&Sn-114   &9.422e-11  &0.000e+00  &50 &114
&Sn-115   &4.886e-11  &0.000e+00  &50 &115
&Sn-116   &3.675e-09  &0.000e+00  &50 &116
&Sn-117   &1.598e-09  &0.000e+00  &50 &117
&Sn-118   &5.503e-09  &0.000e+00  &50 &118
&Sn-119   &1.877e-09  &0.000e+00  &50 &119
&Sn-120   &7.672e-09  &0.000e+00  &50 &120
&Sn-122   &7.246e-10  &0.000e+00  &50 &122
&Sn-124   &9.008e-10  &0.000e+00  &50 &124
&Sb-121   &9.871e-10  &0.000e+00  &51 &121
&Sb-123   &5.959e-10  &0.000e+00  &51 &123
&Te-122   &8.767e-10  &0.000e+00  &52 &122
&Te-123   &3.121e-10  &0.000e+00  &52 &123
&Te-124   &1.640e-09  &0.000e+00  &52 &124
&Te-125   &1.668e-09  &0.000e+00  &52 &125
&Te-126   &5.046e-09  &0.000e+00  &52 &126
&Te-128   &6.683e-09  &0.000e+00  &52 &128
&Te-130   &7.104e-09  &0.000e+00  &52 &130
&I-127    &4.430e-09  &0.000e+00  &53 &127
&Xe-128   &8.868e-10  &0.000e+00  &54 &128
&Xe-129   &6.559e-09  &0.000e+00  &54 &129
&Xe-130   &1.796e-09  &0.000e+00  &54 &130
&Xe-131   &5.369e-09  &0.000e+00  &54 &131
&Xe-132   &7.645e-09  &0.000e+00  &54 &132
&Xe-134   &2.362e-09  &0.000e+00  &54 &134
&Xe-136   &1.944e-09  &0.000e+00  &54 &136
&Cs-133   &1.801e-09  &0.000e+00  &55 &133
&Ba-134   &9.750e-10  &0.000e+00  &56 &134
&Ba-135   &1.553e-09  &0.000e+00  &56 &135
