H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
&Cl-35    &4.256e-06  &0.000e+00  &17 &35
&Cl-37    &1.438e-06  &0.000e+00  &17 &37
&Ar-36    &7.925e-05  &0.000e+00  &18 &36
&Ar-38    &1.521e-05  &0.000e+00  &18 &38
&Ar-40    &2.568e-08  &0.000e+00  &18 &40
&K-39     &4.126e-06  &0.000e+00  &19 &39
&K-40     &1.383e-11  &0.000e+00  &19 &40
&K-41     &3.130e-07  &0.000e+00  &19 &41
&Ca-40    &7.144e-05  &0.000e+00  &20 &40
&Ca-42    &5.006e-07  &0.000e+00  &20 &42
&Ca-43    &1.069e-07  &0.000e+00  &20 &43
&Ca-44    &1.691e-06  &0.000e+00  &20 &44
&Ca-46    &3.390e-09  &0.000e+00  &20 &46
&Ca-48    &1.654e-07  &0.000e+00  &20 &48
&Sc-45    &4.771e-08  &0.000e+00  &21 &45
&Ti-46    &2.915e-07  &0.000e+00  &22 &46
&Ti-47    &2.686e-07  &0.000e+00  &22 &47
&Ti-48    &2.718e-06  &0.000e+00  &22 &48
&Ti-49    &2.036e-07  &0.000e+00  &22 &49
&Ti-50    &1.989e-07  &0.000e+00  &22 &50
&V-51     &4.384e-07  &0.000e+00  &23 &51
&Cr-52    &1.797e-05  &0.000e+00  &24 &52
&Cr-53    &2.077e-06  &0.000e+00  &24 &53
&Cr-54    &5.267e-07  &0.000e+00  &24 &54
&Mn-55    &1.569e-05  &0.000e+00  &25 &55
&Fe-54    &1.034e-04  &0.000e+00  &26 &54
&Fe-56    &1.683e-03  &0.000e+00  &26 &56
&Fe-57    &3.957e-05  &0.000e+00  &26 &57
&Fe-58    &5.358e-06  &0.000e+00  &26 &58
H Table: (M=1.5,Z=0.03)
H Lifetime: 3.655e+09
H Mfinal: 6.072e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.839e-01  &0.000e+00  &1  &1
&H-2      &1.763e-06  &0.000e+00  &1  &2
&He-3     &5.753e-04  &0.000e+00  &2  &3
&He-4     &2.827e-01  &0.000e+00  &2  &4
&Li-7     &3.556e-10  &0.000e+00  &3  &7
&C-12     &3.154e-03  &0.000e+00  &6  &12
&C-13     &1.508e-04  &0.000e+00  &6  &13
&N-14     &2.770e-03  &0.000e+00  &7  &14
&N-15     &1.840e-06  &0.000e+00  &7  &15
&O-16     &1.095e-02  &0.000e+00  &8  &16
&O-17     &1.048e-05  &0.000e+00  &8  &17
&O-18     &1.948e-05  &0.000e+00  &8  &18
&F-19     &7.032e-07  &0.000e+00  &9  &19
&Ne-20    &2.218e-03  &0.000e+00  &10 &20
&Ne-21    &5.583e-06  &0.000e+00  &10 &21
&Ne-22    &1.770e-04  &0.000e+00  &10 &22
&Na-23    &6.251e-05  &0.000e+00  &11 &23
&Mg-24    &1.058e-03  &0.000e+00  &12 &24
&Mg-25    &1.395e-04  &0.000e+00  &12 &25
&Mg-26    &1.598e-04  &0.000e+00  &12 &26
&Al-27    &1.019e-04  &0.000e+00  &13 &27
&Si-28    &1.171e-03  &0.000e+00  &14 &28
&Si-29    &6.161e-05  &0.000e+00  &14 &29
&Si-30    &4.201e-05  &0.000e+00  &14 &30
&P-31     &1.170e-05  &0.000e+00  &15 &31
&S-32     &5.614e-04  &0.000e+00  &16 &32
&S-33     &4.635e-06  &0.000e+00  &16 &33
&S-34     &2.695e-05  &0.000e+00  &16 &34
&S-36     &1.331e-07  &0.000e+00  &16 &36
&Cl-35    &5.758e-06  &0.000e+00  &17 &35
&Cl-37    &1.946e-06  &0.000e+00  &17 &37
&Ar-36    &1.072e-04  &0.000e+00  &18 &36
&Ar-38    &2.058e-05  &0.000e+00  &18 &38
