&Hg-202   &5.08526E-06
&Hg-204   &6.77524E-06
&Tl-203   &9.01909E-06
&Tl-205   &1.80527E-05
&Pb-204   &0.00000E+00
&Pb-206   &1.56003E-05
&Pb-207   &3.03153E-05
&Pb-208   &1.73995E-05
&Bi-209   &1.90085E-05
&Th-232   &1.36012E-05
&U-235    &5.76357E-06
&U-238    &1.83307E-06
