[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 70681 -1.10 -1.10 -30.0  0.90  0.05  0.32  0.29  0.39  0.19  0.13  0.12  0.07 -0.06 -0.47  0.07 -0.01 -0.33  0.08  0.29  0.10   -30.0    0.34    0.53
 71819 -0.14 -0.14  0.10  0.16  0.02  0.06  0.09  0.03  0.05  0.02 -30.0  0.04 -0.01 -0.07  0.02 -30.0  0.01  0.02 -0.02 -0.06    0.03    0.16    0.03
 72407 -0.54 -0.54  0.45  0.65  0.12  0.32  0.29  0.30  0.21  0.30  0.25  0.20  0.05 -0.20  0.14  0.10  0.08  0.17  0.13 -0.13    0.09    0.29    0.56
 72803 -0.73 -0.73  0.37  0.83  0.14  0.34  0.40  0.31  0.17  0.14  0.19  0.08 -0.05 -0.26  0.11  0.09  0.01  0.09 -0.01 -0.28    0.07    0.19    0.42
 74033 -0.85 -0.85  0.39  0.80  0.16  0.41  1.60  0.27  0.25  0.13  0.24  0.11 -30.0 -0.35  0.20  0.03 -0.09  0.18  0.17 -0.11    0.02    0.19    0.34
 74067 -0.75 -0.75  0.42  0.63  0.05  0.31  0.27  0.20  0.13  0.19  0.15  0.05 -0.06 -0.32  0.01  0.01 -0.07  0.14  0.09 -0.10    0.14    0.21    0.48
 81748 -0.01 -0.01  0.14  0.23 -0.03 -0.03  0.09  0.08 -0.06  0.02 -0.08 -0.03 -0.01 -0.09 -0.03 -0.03 -0.01 -0.08 -0.04 -0.19    0.16    0.10    0.04
 84781 -0.29 -0.29  0.22  0.48  0.01  0.25  0.23  0.15  0.11  0.19  0.18  0.12 -30.0 -0.23  0.09  0.03  0.13  0.14  0.10 -0.01    0.22    0.18    0.45
 84803 -0.52 -0.52  0.35  0.66  0.19  0.31  0.38  0.23  0.24  0.05  0.14 -0.02  0.02 -0.19  0.11  0.05  0.04  0.03 -0.08 -0.32    0.09    0.14    0.25
 84862 -0.41 -0.41  0.40  0.61  0.07  0.35  0.28  0.22  0.16  0.23  0.18  0.06 -0.03 -0.24  0.12  0.04  0.02  0.26  0.10 -0.12    0.06    0.32    0.45
 85373 -0.82 -0.82 -30.0  0.42  0.01  0.18  0.26  0.34  0.05  0.30  0.15  0.19  0.04 -0.30  0.23  0.08 -0.20  0.10  0.05 -0.31   -30.0    0.63    0.71
 85378 -0.51 -0.51  0.27  0.57  0.12  0.34  0.35  0.21  0.23  0.12  0.23 -0.01 -0.04 -0.24  0.09  0.04 -0.02  0.09 -0.01 -0.15    0.08    0.22    0.36
 85757 -0.70 -0.70  0.40  0.72  0.14  0.36  0.37  0.29  0.23  0.08  0.23  0.11 -0.03 -0.29  0.10  0.03 -0.02  0.10  0.03 -0.17   -0.10    0.14    0.09
 86013 -0.70 -0.70  0.49  0.72  0.07  0.31  0.16  0.21  0.14  0.18  0.14  0.07 -0.11 -0.32  0.08 -0.03 -0.13  0.11  0.02 -0.13   -0.02    0.30    0.35
 86830 -0.59 -0.59  0.43  0.69  0.17  0.35  0.35  0.30  0.23  0.07  0.21  0.14  0.01 -0.22  0.14  0.05 -30.0  0.04 -0.09 -0.27   -0.07    0.10    0.25
 87089 -0.30 -0.30  0.37  0.47 -0.12 -30.0  0.06  0.14  0.10  0.16  0.26  0.24 -0.03 -0.05  0.12  0.06  0.06  0.04  0.05 -0.10    0.32    0.28    0.46
 87533 -0.21 -0.21  0.12  0.22  0.08  0.15  0.16  0.04  0.08 -0.06 -30.0  0.04 -0.01 -0.12 -0.04 -0.02 -0.04 -0.01 -0.13 -0.14   -0.08   -0.06   -0.06
 88039 -0.81 -0.81  0.41  0.66  0.15  0.43  0.34  0.30  0.18  0.12  0.15  0.20 -0.09 -0.35  0.07  0.04 -0.07  0.22  0.01 -0.14    0.04    0.09    0.26
 88166 -0.76 -0.76 -30.0  0.73  0.13  0.34  0.28  0.28  0.14  0.15  0.21  0.12 -0.01 -0.27  0.11  0.03 -0.05  0.14  0.09 -0.21    0.26    0.17    0.52
 90393 -0.72 -0.72 -30.0  0.11  0.04  0.26  0.17  0.07  0.11  0.30  0.33  0.34  0.05 -0.15  0.14  0.05 -0.06  0.04  0.09 -0.24    0.23    0.61   -30.0
