[Fe/H] err [C/Fe] err [N/Fe] err [Mg/Fe] err [Al/Fe] err [Ca/Fe] err [Ti/Fe] err [Mn/Fe] err [FeII/H] err [Ni/Fe] err [SrII/Fe] err [BaII/Fe] err [EuII/Fe] err [Na/Fe] err [Si/Fe] err [ScII/Fe] err [TiI/Fe] err [V/Fe] err [Cr/Fe] err [Co/Fe] err [Cu/Fe] err [Zn/Fe] err [YII/Fe] err [LaII/Fe] err [Pb/Fe] err [K/Fe] err [VII/Fe] err [Sr/Fe] err [ZrII/Fe] err [NdII/Fe] err [CeII/Fe] err [CaII/Fe] err [MnII/Fe] err [O/Fe] err [PrII/Fe] err [DyII/Fe] err [FeIII/H] err [CrII/Fe] err [SmII/Fe] err [GdII/Fe] err [Sc/Fe] err
-2.62 0.14 -30.0 -30.0 -30.0 -30.0 0.5 0.02 -0.13 0.13 0.37 0.13 0.26 0.09 -0.49 0.14 -0.06 0.17 0.09 -30.0 -0.28 0.0 -0.39 -30.0 1.24 -30.0 -30.0 -30.0 0.18 -30.0 -30.0 -30.0 0.64 0.16 -30.0 -30.0 -0.34 0.09 0.6 0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.75 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.31 0.18 1.98 -30.0 1.73 -30.0 0.63 0.08 -0.22 -30.0 0.43 0.17 0.26 0.16 -0.72 0.23 -0.22 0.11 -0.31 -30.0 0.59 -30.0 2.32 0.12 1.46 0.17 -30.0 -30.0 -30.0 -30.0 0.67 -30.0 0.54 0.26 -30.0 -30.0 -0.38 -30.0 0.47 -30.0 -30.0 -30.0 0.46 -30.0 0.59 0.21 1.78 0.15 3.11 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.05 -30.0 1.99 0.27 1.93 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.27 0.26 1.74 -30.0 1.09 -30.0 0.04 -30.0 0.01 -30.0 0.14 -30.0 0.32 0.32 -0.55 0.46 0.04 0.28 -30.0 -30.0 -0.05 -30.0 2.18 0.06 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.14 0.32 -30.0 -30.0 -0.09 0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.55 0.16 2.28 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.64 -30.0 2.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 2.37 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.45 0.14 -30.0 -30.0 -30.0 -30.0 0.05 0.1 0.39 0.1 0.26 0.06 0.29 0.11 -0.65 0.07 0.01 0.16 0.08 -30.0 -0.17 0.04 -0.37 -30.0 1.22 -30.0 -30.0 -30.0 0.36 -30.0 0.05 0.15 -30.0 -30.0 -30.0 -30.0 -0.32 0.03 -0.13 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.81 0.14 0.04 -30.0 0.88 -30.0 0.27 0.05 -0.43 -30.0 0.2 0.15 0.41 0.12 -0.48 0.15 0.07 0.1 0.06 0.05 -0.17 0.02 0.12 0.11 0.81 0.2 0.11 0.26 0.28 0.09 0.1 0.04 0.36 0.13 -30.0 -30.0 -0.16 0.17 0.22 0.1 -30.0 -30.0 0.68 0.04 -0.11 0.18 0.68 0.12 -30.0 -30.0 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 0.29 0.09 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.8 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.15 0.13 2.32 -30.0 -30.0 -30.0 0.62 0.07 -0.02 -30.0 0.34 0.21 0.31 0.2 -0.51 0.04 -0.09 0.04 -30.0 -30.0 -30.0 -30.0 1.28 0.11 -30.0 -30.0 0.84 0.12 -0.69 -30.0 -30.0 -30.0 0.66 -30.0 -30.0 -30.0 -0.13 0.08 -30.0 -30.0 -30.0 -30.0 1.04 -30.0 1.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.55 0.16 -0.18 -30.0 -30.0 -30.0 0.41 0.13 -0.3 0.11 0.2 0.07 0.26 0.12 -0.5 0.06 -0.05 0.15 -0.43 0.04 -0.13 -30.0 -0.71 -30.0 -30.0 -30.0 -0.72 0.14 -0.06 -30.0 0.03 -30.0 0.26 0.13 -30.0 -30.0 -0.12 0.18 0.09 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.39 0.1 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.98 0.11 -30.0 -30.0 -30.0 -30.0 0.41 0.14 -0.35 -30.0 0.29 0.13 0.18 0.12 -0.78 0.03 -0.02 0.25 -0.32 0.03 -0.51 0.22 -0.57 -30.0 -30.0 -30.0 -0.3 0.05 0.04 -30.0 0.0 -30.0 0.56 0.19 -30.0 -30.0 -0.21 0.15 0.25 0.14 -0.67 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.1 -30.0 -0.5 0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.3 0.2 0.27 -30.0 -30.0 -30.0 0.22 0.19 -0.2 -30.0 -0.04 0.13 -0.14 0.1 -0.65 0.01 -0.07 0.2 0.14 -30.0 -2.06 0.04 -2.41 -30.0 0.37 0.0 -0.38 0.01 0.34 0.42 0.13 0.2 -0.16 0.08 -30.0 -30.0 -0.69 0.25 0.54 0.31 -30.0 -30.0 -30.0 -30.0 -0.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.22 0.27 1.41 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.11 0.2 0.26 -30.0 -30.0 -30.0 0.22 0.16 -0.37 -30.0 0.29 0.12 0.33 0.13 -0.85 0.05 -0.02 0.16 0.15 -30.0 -1.2 0.07 -0.98 -30.0 -30.0 -30.0 0.11 0.23 0.56 0.02 0.3 0.09 0.37 0.11 -30.0 -30.0 -0.47 0.16 0.57 0.19 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.73 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.63 0.11 -30.0 -30.0 -30.0 -30.0 0.21 0.07 -0.62 -30.0 0.34 0.05 0.16 0.22 -30.0 -30.0 0.14 0.07 -30.0 -30.0 -0.49 0.14 0.52 0.2 -30.0 -30.0 -30.0 -30.0 -0.05 -30.0 -0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.75 0.15 0.4 -30.0 -30.0 -30.0 0.33 0.12 -0.48 -30.0 0.16 0.11 0.24 0.12 -0.73 0.08 -0.01 0.13 -0.06 0.07 -0.23 -30.0 -0.32 -30.0 -30.0 -30.0 -0.19 0.18 0.31 -30.0 -0.02 0.09 0.22 0.07 -30.0 -30.0 -0.39 0.16 0.19 0.2 -30.0 -30.0 -30.0 -30.0 -0.18 0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.9 0.18 -0.64 -30.0 -30.0 -30.0 0.49 0.07 0.01 0.08 0.24 0.15 0.18 0.13 -0.89 0.15 0.0 0.16 -0.17 0.17 -0.96 0.1 -0.33 0.08 0.3 0.08 0.06 0.03 0.36 -30.0 0.08 0.08 0.23 0.1 -30.0 -30.0 -0.4 0.26 0.02 0.06 -30.0 -30.0 0.06 -30.0 -0.65 0.15 0.1 0.01 -30.0 -30.0 0.56 -30.0 -30.0 -30.0 -30.0 -30.0 -0.09 -30.0 0.42 -30.0 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
