[Fe/H] err     [FeII/H] err    [C/Fe] err     [N/Fe] err      [O/Fe] err     [Na/Fe] err   [Mg/Fe] err   [Al/Fe] err   [Si/Fe] err     [K/Fe] err      [Ca/Fe] err    [Sc/Fe] err     [Ti/Fe] err     [TiII/Fe] err  [V/Fe] err      [VII/Fe] err      [Cr/Fe] err  [Mn/Fe] err     [Co/Fe] err       [Ni/Fe] err       [Cu/Fe] err    [Zn/Fe] err     [Sr/Fe] err    [Y/Fe] err       [Zr/Fe] err      [Ru/Fe] err     [Ba/Fe] err      [La/Fe] err        [Ce/Fe] err      [Pr/Fe] err     [Nd/Fe] err        [Sm/Fe] err       [Eu/Fe] err      [Gd/Fe] err        [Tb/Fe] err       [Dy/Fe] err         [Ho/Fe] err       [Er/Fe] err      [Yb/Fe] err       [Hf/Fe] err    [Ir/Fe] err [Pb/Fe] err
-3.08  0.21     -2.86  0.14     0.43  0.25  1332.82 -30.0    5110.58 -30.0   -0.25  0.22    0.33  0.22   -0.77  0.22     0.46  0.36    16666 -30.0      0.54  0.22     0.09  0.14      0.52  0.21      0.16  0.14    19999 -30.0    2220.70 -30.0      -0.18  0.20   -0.28  0.21      0.24  0.24        0.14  0.24      26666 -30.0      0.83  0.22     -0.38  0.16   770.20  0.00     2990.70 -30.0     31111 -30.0    -90.89  0.00     661.20  0.00      3221.23 -30.0    3331.91 -30.0    3441.42 -30.0     3551.81 -30.0     991.22  0.00     3662.15 -30.0      3772.48 -30.0     3881.52 -30.0      3992.33 -30.0     4111.88 -30.0    4221.03 -30.0      4332.54 -30.0   44444 -30.0 882.93  0.00   
-3.32  0.14     -3.24  0.16     0.05  0.25  -130.13 -30.0    5111.35 -30.0   -0.11  0.27    0.66  0.15   -0.60  0.30  1551.41 -30.0     0.77  0.18      0.48  0.17     0.18  0.15      0.24  0.14      0.21  0.15     0.04  0.17       0.19  0.24      -0.30  0.15   -0.40  0.16      0.00  0.22        0.15  0.24      26666 -30.0      0.37  0.16     -0.50  0.25    -0.93  0.18       -0.36  0.19     31111 -30.0     -1.45  0.15     666666  0.00      -320.05 -30.0    3330.44 -30.0    3440.01 -30.0     3550.51 -30.0     -80.34  0.00     3660.86 -30.0      3770.95 -30.0     3880.18 -30.0      3990.47 -30.0     4110.44 -30.0    -420.82 -30.0      4331.34 -30.0   44444 -30.0 881.65  0.00   
-2.79  0.21     -2.61  0.14     0.54  0.25  1331.73 -30.0      51111 -30.0    0.21  0.27    0.29  0.21   -0.13  0.32     0.35  0.36    16666 -30.0      0.44  0.22     0.02  0.14      0.58  0.22      0.16  0.14    19999 -30.0    2220.62 -30.0      -0.16  0.20   -0.33  0.20      0.42  0.22       -0.10  0.24      26666 -30.0   2770.96 -30.0      0.03  0.23     -999  0.00     2991.23 -30.0     31111 -30.0     -0.31  0.14     661.26  0.00      3221.44 -30.0    3331.85 -30.0    3441.47 -30.0     3552.00 -30.0     991.23  0.00     3662.10 -30.0      3772.55 -30.0     3881.63 -30.0      3992.16 -30.0     4112.08 -30.0      42222 -30.0      4332.55 -30.0   44444 -30.0 882.69  0.00   
-2.71  0.17     -2.69  0.15  1220.96 -30.0  1332.61 -30.0      51111 -30.0   14444 -30.0    0.54  0.17   -0.48  0.22     0.25  0.31    16666 -30.0      0.46  0.19     0.23  0.15      0.51  0.17      0.37  0.15    19999 -30.0       0.30  0.24      -0.11  0.16   -0.23  0.17      0.17  0.20       -0.04  0.19      26666 -30.0   2770.76 -30.0      0.85  0.22    -0.00  0.17        0.61  0.16     31111 -30.0      0.30  0.15       0.74  0.18      3221.17 -30.0    3331.05 -30.0       0.73  0.18     3551.00 -30.0       0.92  0.16        1.01  0.19        37777 -30.0        1.22  0.16        39999 -30.0        1.01  0.21       0.86  0.19      4331.70 -30.0   44444 -30.0 882.34  0.00   
-2.47  0.21     -2.21  0.14  1220.13 -30.0  1330.73 -30.0       0.46  0.21   14444 -30.0    0.32  0.22   -0.67  0.31     0.44  0.36    16666 -30.0      0.54  0.22     0.02  0.14      0.52  0.20      0.32  0.14    19999 -30.0       0.32  0.25      -0.16  0.22   -0.27  0.21      0.06  0.23        0.05  0.26      26666 -30.0      0.20  0.23      0.13  0.24     0.06  0.18        0.32  0.16     31111 -30.0     -0.16  0.14     660.81  0.00      3220.95 -30.0    3331.43 -30.0    3441.03 -30.0     3551.43 -30.0     990.84  0.00     3661.78 -30.0      3772.04 -30.0     3881.12 -30.0      3992.01 -30.0     4111.46 -30.0      42222 -30.0      4332.13 -30.0 4443.29 -30.0 882.37  0.00       
-3.31  0.15     -3.24  0.15     1.03  0.25    -0.15  0.36       1.21  0.22   14444 -30.0    0.38  0.16   -0.73  0.29    15555 -30.0    16666 -30.0      0.37  0.17    -0.24  0.15      0.06  0.15      0.07  0.15    19999 -30.0      -0.17  0.29      -0.22  0.16   -0.45  0.16     -0.10  0.21       -0.07  0.22      26666 -30.0      0.22  0.18     -0.23  0.25    -0.55  0.18       -0.13  0.18     31111 -30.0     -0.58  0.15      -0.09  0.23      3220.71 -30.0    3330.12 -30.0      -0.12  0.18     3550.50 -30.0      -0.05  0.19     3660.87 -30.0      3770.80 -30.0        0.15  0.23        39999 -30.0        0.22  0.33      -0.23  0.23      4331.12 -30.0 4441.18 -30.0 881.67  0.00       
-3.23  0.15     -3.12  0.16     0.14  0.25    -0.25  0.36       0.94  0.20   14444 -30.0    0.36  0.15   -0.90  0.26     0.76  0.29    16666 -30.0      0.30  0.17    -0.09  0.16      0.09  0.15     -0.06  0.15     0.03  0.18       0.09  0.26      -0.15  0.15   -0.08  0.16     -0.02  0.21        0.11  0.22      26666 -30.0      0.28  0.17     -0.98  0.18    -1.15  0.26       -0.45  0.21     31111 -30.0     -1.67  0.15     666666  0.00      3220.10 -30.0    3330.60 -30.0    3440.03 -30.0     3550.70 -30.0     -80.06  0.00     3660.98 -30.0      3771.06 -30.0     3881.01 -30.0      3990.65 -30.0     4110.56 -30.0    -420.36 -30.0      4331.47 -30.0   44444 -30.0 881.64  0.00       
-2.12  0.21     -2.00  0.14     0.15  0.25  1331.96 -30.0      51111 -30.0   -0.13  0.33    0.45  0.22   -0.76  0.33    15555 -30.0    16666 -30.0      0.50  0.22     0.00  0.14      0.38  0.20      0.34  0.14     0.17  0.24       0.23  0.24      -0.09  0.21   -0.33  0.21      0.10  0.23        0.04  0.23      26666 -30.0      0.17  0.21      0.39  0.21    -0.18  0.16        0.39  0.16     31111 -30.0      0.30  0.14       0.57  0.19      3220.59 -30.0    3331.28 -30.0      34444 -30.0       35555 -30.0       0.72  0.15     3661.35 -30.0      3771.88 -30.0     3881.71 -30.0        39999 -30.0     4111.19 -30.0       0.81  0.17      4331.91 -30.0   44444 -30.0 881.58  0.00       
-3.03  0.22     -2.77  0.15  1220.34 -30.0  1331.29 -30.0    5110.58 -30.0   14444 -30.0    0.45  0.21   -0.42  0.28     0.53  0.36    16666 -30.0      0.57  0.22    -0.03  0.15      0.51  0.22      0.26  0.15    19999 -30.0    2220.56 -30.0      -0.17  0.20   -0.41  0.21      0.22  0.24        0.05  0.26      26666 -30.0   2770.89 -30.0     -0.21  0.19    -0.26  0.24     2990.36 -30.0     31111 -30.0     -0.77  0.15     660.97  0.00      3221.15 -30.0    3331.64 -30.0    3441.10 -30.0     3551.62 -30.0     990.89  0.00     3661.79 -30.0      3772.17 -30.0     3881.32 -30.0      3991.72 -30.0     4111.50 -30.0    4220.60 -30.0      4332.44 -30.0   44444 -30.0 882.58  0.00       
-2.97  0.21     -3.10  0.15     0.57  0.25  1333.06 -30.0      51111 -30.0   14444 -30.0    0.49  0.21   -0.78  0.24     0.61  0.36    16666 -30.0      0.44  0.23     0.05  0.16      0.45  0.21      0.28  0.14    19999 -30.0      22222 -30.0      -0.25  0.20   -0.52  0.20      0.18  0.23       -0.07  0.23      26666 -30.0   2770.74 -30.0     -0.01  0.17   771.13  0.00     2990.78 -30.0     31111 -30.0     -0.62  0.15     666666  0.00      3221.39 -30.0    3331.94 -30.0    3441.48 -30.0     3552.01 -30.0     991.26  0.00     3662.16 -30.0      3772.51 -30.0     3881.51 -30.0      3992.02 -30.0     4111.95 -30.0      42222 -30.0      4332.70 -30.0   44444 -30.0 882.36  0.00   
