[Fe/H] err     [FeII/H] err    [C/Fe] err     [N/Fe] err      [O/Fe] err     [Na/Fe] err   [Mg/Fe] err   [Al/Fe] err   [Si/Fe] err     [K/Fe] err      [Ca/Fe] err    [Sc/Fe] err     [Ti/Fe] err     [TiII/Fe] err  [V/Fe] err      [VII/Fe] err      [Cr/Fe] err  [Mn/Fe] err     [Co/Fe] err       [Ni/Fe] err       [Cu/Fe] err    [Zn/Fe] err     [Sr/Fe] err    [Y/Fe] err       [Zr/Fe] err      [Ru/Fe] err     [Ba/Fe] err      [La/Fe] err        [Ce/Fe] err      [Pr/Fe] err     [Nd/Fe] err        [Sm/Fe] err       [Eu/Fe] err      [Gd/Fe] err        [Tb/Fe] err       [Dy/Fe] err         [Ho/Fe] err       [Er/Fe] err      [Yb/Fe] err       [Hf/Fe] err    [Ir/Fe] err [Pb/Fe] err
-2.56  0.21     -2.46  0.14     0.15  0.25  1331.53 -30.0       0.23  0.21   -0.31  0.29    0.31  0.22   -0.78  0.30     0.45  0.36     0.25  0.23      0.39  0.22    -0.14  0.14      0.33  0.20      0.18  0.14    19999 -30.0       0.14  0.32      -0.16  0.21   -0.40  0.21      0.01  0.23       -0.06  0.25      26666 -30.0   2770.51 -30.0     -0.09  0.24    -0.39  0.19       29999 -30.0     31111 -30.0     -0.09  0.15     660.79  0.00      3221.01 -30.0    3331.54 -30.0      34444 -30.0     3551.49 -30.0     991.12  0.00     3661.62 -30.0      3772.63 -30.0     3881.08 -30.0        39999 -30.0     4111.95 -30.0    4220.29 -30.0      4332.39 -30.0   44444 -30.0 882.26  0.00 
-3.01  0.21     -2.87  0.15     0.70  0.25  1331.35 -30.0      51111 -30.0   14444 -30.0   -0.07  0.30   -1.03  0.21     0.29  0.36    16666 -30.0      0.41  0.23    -0.21  0.15      0.38  0.22      0.03  0.13    19999 -30.0    2220.77 -30.0      -0.13  0.20   -0.77  0.21     -0.05  0.28       -0.24  0.24      26666 -30.0     27777 -30.0     -1.19  0.14   -70.20  0.00     2990.69 -30.0     31111 -30.0     -1.06  0.17     661.21  0.00      3221.35 -30.0    3331.96 -30.0    3441.57 -30.0     3551.83 -30.0     991.10  0.00     3662.08 -30.0      3772.32 -30.0     3881.30 -30.0      3991.89 -30.0     4111.95 -30.0    4220.91 -30.0      4332.53 -30.0   44444 -30.0 882.75  0.00 
-2.95  0.21     -2.84  0.15     0.62  0.25  1331.51 -30.0       0.17  0.22   14444 -30.0    0.40  0.22   -0.72  0.23     0.38  0.36    16666 -30.0      0.49  0.22     0.24  0.15      0.54  0.22      0.32  0.14    19999 -30.0      22222 -30.0      -0.19  0.20   -0.38  0.21      0.12  0.25        0.02  0.26      26666 -30.0   2770.87 -30.0     -0.25  0.17    -0.35  0.30     2990.67 -30.0     31111 -30.0     -0.54  0.14     666666  0.00      3221.53 -30.0    3332.02 -30.0    3441.51 -30.0     3552.04 -30.0     991.13  0.00     3662.15 -30.0      3772.47 -30.0     3881.44 -30.0      3991.95 -30.0     4111.97 -30.0    4220.81 -30.0      4332.63 -30.0   44444 -30.0 882.72  0.00 
-3.13  0.14     -2.93  0.15    -0.68  0.25  1331.75 -30.0       1.05  0.19    0.14  0.30    0.61  0.15   -0.52  0.30     0.73  0.28     0.33  0.18      0.46  0.17     0.01  0.15      0.22  0.14      0.29  0.15     0.04  0.17       0.12  0.24      -0.26  0.15   -0.39  0.14      0.09  0.20        0.27  0.18      26666 -30.0      0.30  0.15      0.32  0.19    -0.31  0.15        0.20  0.15     31111 -30.0     -0.88  0.15     -60.10  0.00      -320.14 -30.0    3330.46 -30.0    -340.19 -30.0     3550.47 -30.0      -0.24  0.18     3660.82 -30.0      3771.31 -30.0     3880.24 -30.0        39999 -30.0     4110.27 -30.0      42222 -30.0      4331.33 -30.0   44444 -30.0 881.67  0.00 
-3.17  0.22     -2.89  0.14     0.74  0.25  1332.68 -30.0       0.70  0.21   14444 -30.0    0.25  0.23   -0.63  0.22     0.50  0.36    16666 -30.0      0.54  0.23     0.14  0.14     18888 -30.0      0.10  0.14    19999 -30.0      22222 -30.0       0.02  0.20   -0.17  0.20      0.43  0.24        0.02  0.24      26666 -30.0   2771.33 -30.0      0.11  0.23   770.03  0.00     2991.41 -30.0     31111 -30.0    -90.78  0.00     666666  0.00      3221.75 -30.0    3332.27 -30.0    3441.55 -30.0     3552.18 -30.0     991.45  0.00     3662.35 -30.0      3773.17 -30.0     3881.62 -30.0      3992.34 -30.0     4111.81 -30.0      42222 -30.0      4332.84 -30.0   44444 -30.0 882.97  0.00 
-3.12  0.21     -2.84  0.15     0.28  0.25  1331.80 -30.0      51111 -30.0   14444 -30.0    0.42  0.22   -0.73  0.23     0.44  0.36    16666 -30.0      0.47  0.23    -0.26  0.13      0.47  0.22      0.01  0.14    19999 -30.0      22222 -30.0      -0.22  0.20   -0.43  0.21      0.28  0.24        0.02  0.24      26666 -30.0   2770.84 -30.0     -0.52  0.15     -999  0.00     2990.57 -30.0     31111 -30.0     -0.81  0.16     661.10  0.00      3221.09 -30.0    3331.71 -30.0    3441.15 -30.0     3551.74 -30.0     991.04  0.00     3661.95 -30.0      3772.85 -30.0     3881.30 -30.0      3991.85 -30.0     4111.72 -30.0      42222 -30.0      4332.49 -30.0   44444 -30.0 882.64  0.00 
-3.99  0.15     -3.85  0.16     0.25  0.25  1331.47 -30.0    5111.73 -30.0   -0.18  0.17    0.57  0.16   -0.60  0.26    15555 -30.0    16666 -30.0      0.25  0.18    -0.11  0.15     -0.00  0.16     -0.16  0.15     0.05  0.20      -0.09  0.28      -0.39  0.16   -0.16  0.17      0.28  0.20        0.37  0.21      26666 -30.0      0.70  0.18     -2.09  0.15   -71.32  0.00     -290.35 -30.0     31111 -30.0    -92.13  0.00     660.17  0.00      3220.06 -30.0    3330.52 -30.0    3440.07 -30.0     3550.63 -30.0     -80.08  0.00     3660.96 -30.0      3771.03 -30.0     3880.41 -30.0      3990.68 -30.0     4110.54 -30.0    4220.02 -30.0      4331.44 -30.0   44444 -30.0 882.22  0.00 
-2.57  0.21     -2.33  0.14    -0.09  0.25  1330.30 -30.0       0.72  0.20   14444 -30.0    0.37  0.22   -0.51  0.32     0.45  0.36     0.32  0.23      0.52  0.22     0.03  0.14      0.49  0.21      0.30  0.14    19999 -30.0      22222 -30.0      -0.18  0.22   -0.40  0.21     -0.00  0.26        0.11  0.27      26666 -30.0      0.30  0.22      0.23  0.24    -0.33  0.18        0.24  0.16     31111 -30.0     -0.51  0.15     660.36  0.00      3220.65 -30.0    3331.47 -30.0    3440.50 -30.0     3551.23 -30.0       0.58  0.20     3661.45 -30.0      3771.77 -30.0        1.09  0.17        39999 -30.0     4111.08 -30.0       0.13  0.26      4331.94 -30.0   44444 -30.0 882.07  0.00 
-3.10  0.21     -3.11  0.15     0.47  0.25  1332.78 -30.0    5110.85 -30.0   14444 -30.0    0.38  0.22   -0.72  0.25     0.69  0.36    16666 -30.0      0.41  0.23    -0.18  0.14      0.49  0.21      0.08  0.13    19999 -30.0    2220.90 -30.0      -0.19  0.20   -0.50  0.20      0.04  0.24        0.03  0.25      26666 -30.0   2770.93 -30.0     -0.19  0.18   770.10  0.00     2990.86 -30.0     31111 -30.0     -0.58  0.14     666666  0.00      3221.33 -30.0    3332.00 -30.0    3441.63 -30.0     3552.07 -30.0     991.19  0.00     3662.34 -30.0      3772.39 -30.0     3881.58 -30.0      3991.98 -30.0     4112.00 -30.0    4221.25 -30.0      4332.83 -30.0   44444 -30.0 882.96  0.00 
-2.89  0.21     -2.66  0.15     0.18  0.25  1331.03 -30.0       0.47  0.21   14444 -30.0    0.37  0.22    0.01  0.33     0.47  0.36    16666 -30.0      0.56  0.22    -0.06  0.14      0.51  0.20      0.23  0.14    19999 -30.0    2220.64 -30.0      -0.22  0.21   -0.47  0.20      0.04  0.24       -0.04  0.27      26666 -30.0      0.46  0.24     -0.07  0.20    -0.20  0.25     2990.68 -30.0     31111 -30.0     -0.65  0.14     660.85  0.00      3221.09 -30.0    3331.81 -30.0    3441.25 -30.0     3551.71 -30.0     990.87  0.00     3661.80 -30.0      3772.14 -30.0     3881.19 -30.0      3991.62 -30.0     4111.52 -30.0    4220.64 -30.0      4332.40 -30.0   44444 -30.0 882.49  0.00 
-2.92  0.22     -2.89  0.15     0.81  0.25  1331.36 -30.0       0.18  0.22   -0.10  0.24    0.45  0.23   -0.66  0.22     0.42  0.36    16666 -30.0      0.56  0.22     0.06  0.13      0.63  0.21      0.35  0.14    19999 -30.0    2220.80 -30.0      -0.20  0.20   -0.47  0.21      0.26  0.26       -0.03  0.26      26666 -30.0   2770.91 -30.0      0.14  0.20   770.02  0.00     2991.25 -30.0     31111 -30.0     -0.72  0.16     666666  0.00      3221.58 -30.0    3332.15 -30.0    3441.56 -30.0     3552.25 -30.0     991.33  0.00     3662.31 -30.0      3772.60 -30.0     3881.77 -30.0      3992.18 -30.0     4112.01 -30.0    4220.82 -30.0      4333.00 -30.0   44444 -30.0 882.93  0.00
-2.66  0.21     -2.44  0.15     0.09  0.25  1332.81 -30.0       0.37  0.21   14444 -30.0    0.35  0.22   -0.74  0.28     0.35  0.36    16666 -30.0      0.49  0.22    -0.05  0.15      0.44  0.21      0.27  0.14    19999 -30.0    2220.28 -30.0      -0.05  0.21   -0.26  0.20      0.11  0.23        0.02  0.26      26666 -30.0   2770.61 -30.0      0.00  0.24    -0.22  0.19        0.44  0.17     31111 -30.0     -0.39  0.14     666666  0.00      3221.15 -30.0    3331.62 -30.0    3441.17 -30.0     3551.55 -30.0     990.83  0.00     3661.82 -30.0      3772.12 -30.0     3881.16 -30.0      3991.58 -30.0     4111.51 -30.0    4220.56 -30.0      4332.36 -30.0   44444 -30.0 882.48  0.00 
-2.44  0.20     -2.26  0.15    -0.04  0.25  1330.93 -30.0       0.50  0.20   14444 -30.0    0.42  0.22   -0.75  0.32    15555 -30.0     0.65  0.23      0.57  0.22     0.21  0.15      0.41  0.20      0.46  0.14     0.13  0.26       0.22  0.26      -0.10  0.21   -0.33  0.21      0.05  0.26        0.06  0.28    2660.66 -30.0      0.41  0.21      0.26  0.24    -0.24  0.17        0.34  0.14     31111 -30.0     -0.40  0.14     660.63  0.00      3220.58 -30.0    3331.39 -30.0    3440.57 -30.0     3551.22 -30.0     990.67  0.00     3661.23 -30.0      3771.64 -30.0     3880.98 -30.0        39999 -30.0     4111.25 -30.0       0.00  0.39      4331.94 -30.0   44444 -30.0 881.80  0.00
-3.87  0.15     -3.85  0.16     2.72  0.25     1.71  0.36       2.37  0.15    1.03  0.23    1.78  0.18    0.75  0.25     1.08  0.28     0.46  0.19      0.54  0.17    -0.07  0.17      0.10  0.15      0.27  0.15    19999 -30.0      22222 -30.0      -0.29  0.15   -0.45  0.17     -0.26  0.18       -0.04  0.19      26666 -30.0      0.56  0.17      0.08  0.24    -0.26  0.19       29999 -30.0     31111 -30.0     -0.51  0.15     -60.27  0.00      3220.14 -30.0    3330.92 -30.0    3440.68 -30.0     3550.86 -30.0     990.21  0.00       36666 -30.0      3771.48 -30.0     3881.00 -30.0        39999 -30.0     4111.05 -30.0    -420.47 -30.0      4331.44 -30.0   44444 -30.0 882.50  0.00 
-2.51  0.21     -2.35  0.14     0.10  0.25  1331.52 -30.0       0.55  0.20   -0.20  0.28    0.26  0.22   -0.82  0.30     0.37  0.36    16666 -30.0      0.45  0.22     0.03  0.15      0.35  0.20      0.32  0.14    19999 -30.0       0.49  0.24      -0.13  0.22   -0.32  0.21      0.04  0.24        0.13  0.28      26666 -30.0   2770.38 -30.0      0.17  0.24    -0.29  0.18        0.29  0.18     31111 -30.0     -0.33  0.14     666666  0.00      3221.06 -30.0    3331.45 -30.0    3440.95 -30.0     3551.30 -30.0       0.63  0.16     3661.61 -30.0      3771.94 -30.0     3880.97 -30.0      3991.89 -30.0     4111.41 -30.0       0.24  0.20      4332.15 -30.0   44444 -30.0 882.29  0.00 
-2.81  0.21     -2.61  0.15     0.39  0.25  1331.03 -30.0       0.47  0.21   14444 -30.0    0.34  0.22   -0.69  0.26     0.43  0.36    16666 -30.0      0.48  0.22    -0.03  0.16      0.52  0.21      0.28  0.15    19999 -30.0      22222 -30.0      -0.16  0.20   -0.38  0.20      0.18  0.24        0.11  0.28      26666 -30.0   2770.66 -30.0      0.07  0.23    -0.15  0.20        0.59  0.16     31111 -30.0     -0.50  0.15     666666  0.00      3220.99 -30.0    3331.51 -30.0    3440.84 -30.0       35555 -30.0       0.44  0.35     3661.71 -30.0      3771.97 -30.0     3881.12 -30.0      3991.86 -30.0     4111.49 -30.0    4220.54 -30.0      4332.34 -30.0   44444 -30.0 882.50  0.00 
-2.79  0.22     -2.75  0.15     0.50  0.25  1331.67 -30.0      51111 -30.0   14444 -30.0    0.29  0.22   -0.84  0.22     0.25  0.35    16666 -30.0      0.35  0.23     0.01  0.17      0.56  0.22      0.48  0.14    19999 -30.0    2220.53 -30.0       0.05  0.20   -0.01  0.20      0.26  0.25        0.24  0.26      26666 -30.0   2771.30 -30.0     -0.62  0.14   770.04  0.00       29999 -30.0     31111 -30.0    -91.07  0.00     660.99  0.00      3221.30 -30.0    3331.89 -30.0    3441.35 -30.0     3551.70 -30.0     990.84  0.00     3661.97 -30.0      3772.26 -30.0     3881.33 -30.0      3991.85 -30.0     4112.31 -30.0    4220.76 -30.0      4332.60 -30.0   44444 -30.0 882.36  0.00 
-2.92  0.21     -2.71  0.15     0.12  0.25  1331.08 -30.0       0.53  0.22   14444 -30.0    0.37  0.21   -0.77  0.23     0.35  0.36    16666 -30.0      0.44  0.22    -0.02  0.15      0.50  0.21      0.33  0.14    19999 -30.0      22222 -30.0      -0.11  0.20   -0.42  0.20      0.14  0.25       -0.01  0.25      26666 -30.0      0.60  0.23     -0.05  0.16    -0.57  0.29     2991.08 -30.0     31111 -30.0     -0.50  0.14     666666  0.00      3221.16 -30.0    3331.79 -30.0    3441.32 -30.0     3551.81 -30.0     991.17  0.00     3661.90 -30.0      3772.15 -30.0       38888 -30.0      3991.65 -30.0     4111.58 -30.0    4220.46 -30.0      4332.45 -30.0   44444 -30.0 882.55  0.00 
-3.30  0.15     -3.20  0.15     0.96  0.25     1.00  0.36       1.13  0.20   -0.02  0.27    0.51  0.16   -0.60  0.29    15555 -30.0     0.26  0.20      0.37  0.17    -0.10  0.15      0.17  0.15      0.12  0.15    19999 -30.0      -0.02  0.26      -0.15  0.15   -0.02  0.14      0.04  0.21        0.29  0.20      26666 -30.0      0.44  0.16     -0.44  0.24    -0.79  0.19       29999 -30.0     31111 -30.0     -1.46  0.17     666666  0.00      3220.18 -30.0    3330.73 -30.0    3440.17 -30.0     3550.71 -30.0     990.01  0.00     3661.09 -30.0      3771.30 -30.0     3880.50 -30.0      3990.89 -30.0     4110.58 -30.0    -420.26 -30.0      4331.57 -30.0 4441.78 -30.0 881.86  0.00 
-2.38  0.17     -2.35  0.15  1222.98 -30.0  1333.33 -30.0       0.42  0.16   14444 -30.0    0.42  0.17   -0.32  0.18     0.10  0.23    16666 -30.0      0.34  0.20     0.16  0.15     18888 -30.0      0.30  0.15    19999 -30.0    2220.48 -30.0       0.05  0.17  330.65 -30.0     24444 -30.0       25555 -30.0    2662.12 -30.0   2771.33 -30.0     -0.42  0.15   770.24  0.00     2990.64 -30.0     31111 -30.0     -0.29  0.16     666666  0.00      3221.56 -30.0    3332.27 -30.0    3441.86 -30.0     3552.19 -30.0     991.41  0.00     3662.17 -30.0      3772.68 -30.0     3881.85 -30.0      3992.14 -30.0     4112.16 -30.0    4221.32 -30.0      4332.72 -30.0   44444 -30.0 883.35  0.00 
-3.12  0.22     -2.91  0.14     1.39  0.25  1332.09 -30.0      51111 -30.0   14444 -30.0    0.38  0.24   -0.77  0.21     0.35  0.35    16666 -30.0      0.50  0.23    -0.33  0.14     18888 -30.0      0.11  0.13    19999 -30.0    2221.24 -30.0      -0.15  0.20   -0.41  0.21     24444 -30.0       25555 -30.0    2661.72 -30.0     27777 -30.0     -0.18  0.17   771.28  0.00     2991.13 -30.0     31111 -30.0      0.21  0.14     661.45  0.00      3221.80 -30.0    3332.36 -30.0    3441.73 -30.0     3552.33 -30.0     991.54  0.00     3662.49 -30.0      3772.82 -30.0     3881.90 -30.0      3992.38 -30.0     4112.31 -30.0    4221.57 -30.0      4332.99 -30.0   44444 -30.0 883.09  0.00 
-3.24  0.21     -2.94  0.15  1220.51 -30.0  1331.11 -30.0       0.88  0.21   14444 -30.0    0.44  0.24   -0.70  0.22     0.29  0.35    16666 -30.0      0.64  0.22    -0.03  0.17      0.51  0.22      0.26  0.14    19999 -30.0    2220.75 -30.0      -0.21  0.20   -0.43  0.22      0.24  0.27       -0.03  0.27      26666 -30.0   2771.05 -30.0     -0.05  0.21    -0.45  0.32       29999 -30.0     31111 -30.0     -0.27  0.14     666666  0.00      3221.35 -30.0    3331.83 -30.0    3441.29 -30.0     3551.86 -30.0     991.06  0.00     3662.11 -30.0      3772.26 -30.0     3881.45 -30.0      3991.98 -30.0     4111.68 -30.0    4220.78 -30.0      4332.66 -30.0   44444 -30.0 882.67  0.00 
-3.21  0.22     -3.08  0.16     0.55  0.25  1331.99 -30.0    5110.78 -30.0   14444 -30.0    0.48  0.22   -0.78  0.22     0.49  0.36    16666 -30.0      0.57  0.23    -0.02  0.16      0.54  0.22      0.32  0.14    19999 -30.0    2220.90 -30.0      -0.27  0.20   -0.42  0.21      0.05  0.26       -0.01  0.26      26666 -30.0   2771.07 -30.0      0.24  0.21    -0.25  0.29       29999 -30.0     31111 -30.0     -0.45  0.14     666666  0.00      3221.41 -30.0    3331.97 -30.0    3441.63 -30.0     3551.98 -30.0     991.25  0.00     3662.22 -30.0      3772.39 -30.0     3881.68 -30.0      3991.93 -30.0     4111.94 -30.0    4220.85 -30.0      4332.88 -30.0   44444 -30.0 882.90  0.00
-2.58  0.17     -2.60  0.15  1221.56 -30.0  1332.26 -30.0       0.03  0.17   14444 -30.0    0.46  0.17   -0.58  0.21     0.32  0.31    16666 -30.0      0.39  0.19     0.25  0.16      0.51  0.17      0.40  0.15    19999 -30.0       0.45  0.24      -0.06  0.17   -0.10  0.17      0.27  0.20        0.30  0.21      26666 -30.0   2770.84 -30.0     -0.03  0.25    -0.26  0.20        0.33  0.17     31111 -30.0     -0.39  0.15     666666  0.00      3220.87 -30.0    3331.30 -30.0    3440.87 -30.0     3551.38 -30.0     990.91  0.00     3661.57 -30.0      3771.83 -30.0     3881.09 -30.0      3991.50 -30.0     4111.21 -30.0    4220.29 -30.0      4332.15 -30.0   44444 -30.0 882.50  0.00 
-2.92  0.21     -2.87  0.15     0.49  0.25  1331.74 -30.0       0.54  0.22   14444 -30.0    0.54  0.22   -0.66  0.25     0.60  0.36    16666 -30.0      0.48  0.22    -0.13  0.16      0.34  0.21      0.15  0.14    19999 -30.0       0.75  0.26      -0.25  0.20   -0.48  0.20      0.04  0.24        0.08  0.28      26666 -30.0      0.76  0.21     -0.37  0.17   -70.22  0.00     2990.55 -30.0     31111 -30.0     -0.57  0.14     666666  0.00      3221.33 -30.0    3331.92 -30.0    3441.40 -30.0     3551.86 -30.0     991.13  0.00     3662.01 -30.0      3772.19 -30.0     3881.51 -30.0      3991.88 -30.0     4111.78 -30.0    4220.91 -30.0      4332.65 -30.0   44444 -30.0 882.36  0.00
-2.47  0.17     -2.46  0.15    -0.05  0.25  1331.08 -30.0       0.38  0.17   -0.00  0.23    0.45  0.17   -0.84  0.23     0.60  0.31    16666 -30.0      0.42  0.19    -0.02  0.15      0.30  0.17      0.27  0.15    -0.03  0.20       0.11  0.24      -0.13  0.17   -0.34  0.17     -0.06  0.21        0.07  0.22      26666 -30.0      0.19  0.17      0.24  0.25    -0.34  0.16        0.12  0.16     31111 -30.0     -0.08  0.16       0.20  0.18         0.12  0.27       0.70  0.16       0.36  0.19     3550.90 -30.0       0.49  0.16     3660.74 -30.0      3771.53 -30.0        0.66  0.17        39999 -30.0        0.47  0.21       0.26  0.17      4331.11 -30.0 4442.01 -30.0 881.64  0.00
-2.63  0.21     -2.51  0.15     0.26  0.25  1330.93 -30.0       0.28  0.21   14444 -30.0    0.25  0.22   -0.88  0.26     0.38  0.36    16666 -30.0      0.40  0.22    -0.23  0.17      0.31  0.21      0.13  0.15    19999 -30.0    2220.34 -30.0      -0.13  0.21   -0.39  0.20      0.02  0.24       -0.12  0.26      26666 -30.0   2770.54 -30.0     -0.07  0.23    -0.40  0.32        0.18  0.20     31111 -30.0     -0.46  0.14     666666  0.00      3221.10 -30.0    3331.50 -30.0    3441.14 -30.0     3551.58 -30.0     990.82  0.00     3661.77 -30.0      3772.04 -30.0     3881.25 -30.0      3991.62 -30.0     4111.50 -30.0    4220.51 -30.0      4332.24 -30.0   44444 -30.0 882.31  0.00 
-2.67  0.21     -2.59  0.15  1221.24 -30.0  1332.11 -30.0      -0.12  0.21    0.34  0.31    0.30  0.21   -0.70  0.22     0.13  0.33    16666 -30.0      0.41  0.22    17777 -30.0     18888 -30.0      0.12  0.13    19999 -30.0      22222 -30.0      -0.18  0.20   -0.15  0.20     24444 -30.0        0.21  0.26      26666 -30.0   2770.88 -30.0     -0.24  0.13   770.03  0.00     2991.18 -30.0     31111 -30.0     -0.36  0.14     666666  0.00      3221.51 -30.0    3332.09 -30.0    3441.61 -30.0     3552.02 -30.0     991.20  0.00     3662.15 -30.0      3772.47 -30.0     3881.51 -30.0        39999 -30.0     4111.92 -30.0      42222 -30.0      4332.74 -30.0   44444 -30.0 882.82  0.00
-2.83  0.22     -2.81  0.14     0.88  0.25  1333.69 -30.0      51111 -30.0   14444 -30.0    0.22  0.23   -0.70  0.23     0.26  0.36    16666 -30.0      0.45  0.23     0.34  0.15      0.68  0.21      0.31  0.14    19999 -30.0    2221.06 -30.0      -0.21  0.20   -0.29  0.21      0.35  0.25        0.16  0.24      26666 -30.0     27777 -30.0     -0.13  0.18   770.33  0.00     2990.92 -30.0     31111 -30.0     -0.16  0.14     666666  0.00      3221.71 -30.0    3332.27 -30.0    3441.76 -30.0     3552.23 -30.0     991.72  0.00     3662.33 -30.0      3773.21 -30.0     3881.58 -30.0      3992.40 -30.0     4112.23 -30.0      42222 -30.0      4332.96 -30.0   44444 -30.0 882.84  0.00 
-2.35  0.14     -2.34  0.15    -0.13  0.25    -0.13  0.36       0.39  0.18   14444 -30.0    0.35  0.16   -0.79  0.30     0.42  0.23     0.01  0.18      0.31  0.17    -0.13  0.15      0.07  0.14      0.17  0.15    -0.19  0.17      -0.15  0.26      -0.20  0.15   -0.36  0.14     -0.31  0.20       -0.07  0.19      26666 -30.0      0.11  0.15     -0.09  0.26    -0.53  0.19        0.05  0.16     31111 -30.0     -0.15  0.15      -0.02  0.21      -320.05 -30.0    3330.63 -30.0       0.08  0.20     3550.61 -30.0       0.08  0.17     3660.90 -30.0      3771.07 -30.0        0.24  0.20        39999 -30.0        0.40  0.27      -0.09  0.20      4331.43 -30.0   44444 -30.0 881.47  0.00 
-2.84  0.21     -2.58  0.15     0.02  0.25  1331.05 -30.0       0.64  0.20   14444 -30.0    0.27  0.22   -0.82  0.25     0.32  0.36     0.40  0.25      0.46  0.22    -0.03  0.16      0.34  0.21      0.24  0.15    19999 -30.0    2220.33 -30.0      -0.15  0.21   -0.28  0.21      0.05  0.24       -0.03  0.26      26666 -30.0   2770.61 -30.0     -0.43  0.18    -0.66  0.25        0.05  0.21     31111 -30.0     -1.51  0.21     660.67  0.00      3220.96 -30.0    3331.44 -30.0    3440.81 -30.0     3551.46 -30.0     990.60  0.00     3661.62 -30.0      3771.93 -30.0     3881.02 -30.0      3991.67 -30.0     4111.45 -30.0    4220.17 -30.0      4332.26 -30.0   44444 -30.0 882.17  0.00 
-2.62  0.21     -2.47  0.15     0.06  0.25  1330.26 -30.0      51111 -30.0   14444 -30.0    0.23  0.22   -0.99  0.26     0.35  0.36    16666 -30.0      0.37  0.22    -0.20  0.15      0.33  0.21      0.27  0.15     0.31  0.25       0.01  0.33      -0.16  0.21   -0.24  0.21     -0.06  0.25       -0.03  0.27      26666 -30.0     27777 -30.0     -0.06  0.23    -0.21  0.17       -0.11  0.25     31111 -30.0     -0.77  0.14     666666  0.00      3220.82 -30.0    3331.34 -30.0    3440.73 -30.0     3551.30 -30.0     990.61  0.00     3661.56 -30.0      3771.81 -30.0     3881.01 -30.0        39999 -30.0     4111.20 -30.0    4220.30 -30.0      4332.11 -30.0   44444 -30.0 882.13  0.00 
-2.78  0.21     -2.94  0.15     0.58  0.25  1331.01 -30.0    5110.74 -30.0   14444 -30.0    0.48  0.21   -0.57  0.33    15555 -30.0     0.26  0.23      0.44  0.22     0.05  0.16      0.31  0.20      0.31  0.14     0.27  0.24    2220.62 -30.0      -0.15  0.21   -0.35  0.21      0.16  0.24       -0.01  0.29      26666 -30.0      0.29  0.23      0.22  0.24    -0.09  0.19        0.62  0.16     31111 -30.0     -0.34  0.14     666666  0.00      3221.12 -30.0    3331.70 -30.0    3441.09 -30.0     3551.68 -30.0     991.04  0.00     3661.88 -30.0      3772.75 -30.0     3881.36 -30.0        39999 -30.0     4111.57 -30.0    4220.71 -30.0      4332.44 -30.0   44444 -30.0 882.21  0.00 
-2.53  0.21     -2.54  0.15     0.27  0.25  1331.21 -30.0       0.11  0.21   14444 -30.0    0.25  0.22   -0.83  0.30     0.56  0.36    16666 -30.0      0.39  0.22    -0.01  0.16      0.36  0.21      0.27  0.15    19999 -30.0       0.16  0.31      -0.17  0.21   -0.19  0.21      0.07  0.26        0.05  0.28      26666 -30.0      0.25  0.24     -0.29  0.19    -0.37  0.24        0.17  0.18     31111 -30.0     -0.50  0.14     666666  0.00      3221.09 -30.0    3331.53 -30.0    3441.02 -30.0     3551.47 -30.0     990.75  0.00     3661.65 -30.0      3771.83 -30.0     3881.16 -30.0      3991.58 -30.0     4111.39 -30.0    4220.29 -30.0      4332.22 -30.0   44444 -30.0 882.11  0.00 
-2.55  0.21     -2.75  0.15     0.58  0.25  1332.16 -30.0    5110.68 -30.0   14444 -30.0    0.34  0.20   -0.49  0.33    15555 -30.0    16666 -30.0      0.40  0.22     0.12  0.14      0.20  0.20      0.16  0.14  1990.42 -30.0    2220.76 -30.0      -0.13  0.22   -0.29  0.23      0.12  0.22        0.09  0.22      26666 -30.0   2770.68 -30.0     -0.10  0.24    -0.13  0.20       29999 -30.0     31111 -30.0     -0.02  0.15     661.00  0.00        32222 -30.0    3331.99 -30.0    3441.35 -30.0     3551.85 -30.0       0.90  0.21     3662.12 -30.0      3772.43 -30.0        1.26  0.18        39999 -30.0     4111.75 -30.0       0.86  0.24      4332.67 -30.0   44444 -30.0 882.41  0.00 
-3.22  0.14     -3.19  0.15     0.10  0.25    -0.15  0.36      51111 -30.0   14444 -30.0    0.54  0.15   -0.56  0.30    15555 -30.0    16666 -30.0      0.48  0.17    -0.03  0.15      0.17  0.14      0.24  0.15    -0.11  0.17      -0.02  0.24      -0.23  0.15   -0.38  0.16     -0.09  0.19        0.06  0.19    -260.17 -30.0      0.53  0.14     -0.17  0.25    -0.69  0.18        0.01  0.16     31111 -30.0     -0.38  0.15       0.03  0.17      3220.27 -30.0       0.43  0.19       0.13  0.19     3550.43 -30.0       0.28  0.16     3660.70 -30.0      3771.01 -30.0        0.28  0.16        39999 -30.0       41111 -30.0       0.14  0.19      4330.96 -30.0 4441.37 -30.0 881.33  0.00 
