[Fe/H] [Sc/H] [V/H] [Mn/H] [Co/H]
-5.20e-01 -4.50e-01 -3.00e+01 -7.20e-01 -4.70e-01
-2.00e-01 -1.60e-01 -3.30e-01 -3.90e-01 -2.00e-01
-5.40e-01 -5.00e-01 -3.00e+01 -8.80e-01 -3.00e+01
-6.00e-02 8.00e-02 3.00e-02 -3.00e+01 -4.00e-02
4.00e-02 1.00e-01 1.90e-01 1.30e-01 -3.00e-02
3.00e-02 7.00e-02 1.00e-02 -1.00e-02 3.00e-02
-1.66e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-9.50e-01 -7.20e-01 -3.00e+01 -3.00e+01 -7.50e-01
0.00e+00 -4.00e-02 -6.00e-02 -1.30e-01 -8.00e-02
-1.00e-01 -3.00e+01 -3.00e+01 -3.00e+01 -1.30e-01
-8.40e-01 -7.10e-01 -3.00e+01 -1.20e+00 -3.00e+01
1.30e-01 2.20e-01 1.60e-01 2.10e-01 1.90e-01
-4.70e-01 -2.30e-01 -3.00e-01 -8.40e-01 -3.70e-01
-3.30e-01 -2.90e-01 -3.20e-01 -4.60e-01 -3.30e-01
-8.10e-01 -6.00e-01 -3.00e+01 -1.15e+00 -5.60e-01
-8.90e-01 -7.30e-01 -3.00e+01 -1.30e+00 -3.00e+01
-1.84e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-9.10e-01 -7.90e-01 -7.00e-01 -1.13e+00 -6.70e-01
-3.50e-01 -1.60e-01 -1.70e-01 -6.30e-01 -1.90e-01
-5.00e-02 3.00e-02 -3.00e-02 -1.90e-01 -5.00e-02
-1.90e-01 -8.00e-02 -1.60e-01 -2.60e-01 -1.70e-01
-8.40e-01 -7.10e-01 -3.00e+01 -1.13e+00 -6.30e-01
-3.20e-01 -1.80e-01 -3.00e+01 -5.90e-01 -2.40e-01
-4.00e-02 -1.00e-02 -3.00e+01 -1.40e-01 -3.00e-02
-3.00e-02 4.00e-02 -6.00e-02 -1.30e-01 -8.00e-02
-3.30e-01 -2.00e-01 -3.00e-01 -6.30e-01 -2.80e-01
-3.00e-02 -7.00e-02 -7.00e-02 -1.80e-01 -1.20e-01
-6.10e-01 -4.20e-01 -3.70e-01 -7.50e-01 -4.40e-01
-9.00e-01 -3.00e+01 -3.00e+01 -3.00e+01 -2.70e-01
1.20e-01 3.30e-01 1.80e-01 1.50e-01 1.90e-01
1.40e-01 1.20e-01 9.00e-02 1.20e-01 1.00e-01
-1.20e-01 -1.20e-01 1.60e-01 -1.00e-02 -1.00e-01
-2.30e-01 -1.60e-01 -2.30e-01 -4.50e-01 -2.30e-01
1.40e-01 2.40e-01 2.30e-01 1.60e-01 1.90e-01
-1.80e-01 3.00e-02 -3.00e+01 -4.10e-01 2.00e-02
-6.30e-01 -4.20e-01 -3.00e+01 -9.70e-01 -5.00e-01
-2.70e-01 -1.50e-01 -1.00e-01 -4.00e-01 -1.60e-01
-4.70e-01 -3.00e+01 -3.00e+01 -7.50e-01 -3.00e+01
-8.00e-02 4.00e-02 -4.00e-02 -2.10e-01 -3.00e-02
-7.00e-02 -1.00e-02 -2.00e-02 -1.30e-01 -4.00e-02
-5.00e-01 -4.50e-01 1.80e-01 -3.00e+01 -3.00e+01
-3.80e-01 -1.80e-01 -1.80e-01 -3.00e+01 -2.10e-01
-1.92e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
1.10e-01 1.90e-01 1.70e-01 1.30e-01 1.20e-01
-2.10e-01 -1.00e-01 -1.90e-01 -4.30e-01 -1.80e-01
-6.30e-01 -4.00e-01 -3.00e+01 -8.10e-01 -4.10e-01
-4.30e-01 -3.60e-01 -3.00e+01 -7.60e-01 -3.80e-01
-3.40e-01 -2.90e-01 -2.70e-01 -4.80e-01 -3.50e-01
-3.80e-01 -3.30e-01 -3.00e+01 -6.50e-01 -4.00e-01
-1.10e-01 -6.00e-02 -1.20e-01 -2.10e-01 -1.20e-01
-2.70e-01 -3.00e-01 -3.00e+01 -5.50e-01 -3.00e+01
3.30e-01 4.00e-01 3.40e-01 4.10e-01 3.80e-01
-7.10e-01 -5.50e-01 -5.30e-01 -1.07e+00 -5.40e-01
-6.80e-01 -6.00e-01 -3.00e+01 -9.90e-01 -3.00e+01
2.50e-01 3.20e-01 2.60e-01 3.10e-01 3.40e-01
-1.00e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
1.50e-01 1.90e-01 1.90e-01 1.30e-01 2.00e-01
-1.80e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-4.10e-01 -2.70e-01 -3.30e-01 -7.60e-01 -3.60e-01
-4.60e-01 -3.90e-01 -2.10e-01 -5.00e-01 -3.80e-01
-3.00e-02 7.00e-02 1.00e-02 -7.00e-02 0.00e+00
-4.50e-01 -4.60e-01 -2.00e-01 -7.40e-01 -4.70e-01
7.00e-02 1.50e-01 1.40e-01 8.00e-02 1.30e-01
-5.20e-01 -3.20e-01 -3.00e+01 -8.20e-01 -4.40e-01
-5.60e-01 -3.00e+01 -3.00e+01 -7.40e-01 -3.90e-01
9.00e-02 -3.00e+01 1.00e-01 7.00e-02 5.00e-02
-2.80e-01 -2.60e-01 -3.00e+01 -4.30e-01 -1.60e-01
1.20e-01 1.60e-01 1.50e-01 1.20e-01 1.70e-01
-5.50e-01 -3.40e-01 -3.20e-01 -7.90e-01 -3.70e-01
-4.30e-01 -2.80e-01 -2.00e-01 -7.00e-01 -3.00e+01
-1.14e+00 -9.10e-01 -3.00e+01 -1.59e+00 -3.00e+01
-3.90e-01 -2.00e-01 -2.70e-01 -7.00e-01 -3.00e-01
-8.00e-01 -7.00e-01 -3.00e+01 -1.04e+00 -6.70e-01
2.10e-01 2.90e-01 2.40e-01 2.40e-01 2.80e-01
-1.02e+00 -9.90e-01 -3.00e+01 -1.40e+00 -6.60e-01
-1.06e+00 -9.80e-01 -3.00e+01 -1.49e+00 -3.00e+01
1.30e-01 1.20e-01 4.10e-01 1.00e-01 1.70e-01
-4.20e-01 -2.80e-01 -3.00e+01 -5.70e-01 -2.20e-01
-1.20e-01 -8.00e-02 -1.00e-01 -2.40e-01 -1.00e-01
-4.00e-01 -3.40e-01 -2.90e-01 -3.00e+01 -3.40e-01
-1.00e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-6.80e-01 -4.70e-01 -3.00e+01 -9.70e-01 -3.00e+01
-8.20e-01 -6.80e-01 -5.60e-01 -1.09e+00 -6.40e-01
-3.50e-01 -3.10e-01 -2.20e-01 -5.20e-01 -3.00e-01
-4.10e-01 -2.70e-01 -2.80e-01 -7.40e-01 -2.60e-01
-4.30e-01 -3.30e-01 -3.00e+01 -6.00e-01 -3.90e-01
-3.50e-01 -2.90e-01 -3.50e-01 -5.80e-01 -3.10e-01
-1.27e+00 -1.20e+00 -3.00e+01 -1.78e+00 -9.30e-01
-1.14e+00 -1.00e+00 -7.80e-01 -1.63e+00 -3.00e+01
-6.80e-01 -5.40e-01 -4.20e-01 -9.10e-01 -5.10e-01
-7.70e-01 -6.00e-01 -3.20e-01 -8.40e-01 -5.70e-01
1.40e-01 2.30e-01 1.10e-01 1.10e-01 1.50e-01
2.50e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-8.40e-01 -6.50e-01 -6.10e-01 -1.18e+00 -6.70e-01
-8.60e-01 -8.10e-01 -3.00e+01 -1.19e+00 -8.70e-01
-1.00e-01 -4.00e-02 -1.40e-01 -2.50e-01 -9.00e-02
-5.80e-01 -5.20e-01 -3.00e+01 -7.30e-01 -4.80e-01
-1.43e+00 -1.26e+00 -3.00e+01 -3.00e+01 -3.00e+01
7.00e-02 1.40e-01 1.10e-01 7.00e-02 8.00e-02
-7.00e-02 -3.00e-02 1.00e-01 -7.00e-02 -5.00e-02
-7.40e-01 -4.90e-01 -4.00e-01 -9.20e-01 -5.40e-01
-7.30e-01 -5.70e-01 -3.00e+01 -3.00e+01 -4.50e-01
1.10e-01 1.00e-01 1.30e-01 7.00e-02 1.20e-01
