[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
 0.02  0.11  0.24  0.20  0.00  0.11  0.04  0.09  0.05  0.07  0.10  0.10 -0.04  0.12  0.04  0.08  0.01  0.10  0.04  0.08  0.12  0.11 -0.09  0.21 -0.06  0.11
-2.05  0.06 -30.0 -30.0 -0.18  0.08  0.36  0.03 -30.0 -30.0  0.26  0.11  0.21  0.05  0.16  0.10  0.08  0.21 -0.12  0.08 -30.0 -30.0 -0.18  0.18 -0.17  0.18
 0.28  0.08 -0.30  0.15  0.05  0.05 -0.02  0.05  0.02  0.06 -0.02  0.05 -0.06  0.04  0.00  0.06 -0.03  0.07  0.03  0.06  0.03  0.06 -0.09  0.15 -0.09  0.10
-0.62  0.04  0.55  0.11  0.14  0.03  0.38  0.04  0.37  0.04  0.24  0.03  0.27  0.05  0.29  0.05  0.02  0.06  0.01  0.04  0.16  0.08 -0.08  0.13 -0.16  0.09
 0.05  0.05 -0.15  0.11 -0.09  0.03 -0.07  0.04 -0.07  0.03 -0.04  0.03  0.04  0.06 -0.01  0.06  0.01  0.06 -0.07  0.05 -0.11  0.03  0.08  0.11  0.21  0.06
 0.20  0.06 -0.10  0.14  0.11  0.05  0.12  0.07  0.11  0.04  0.06  0.04 -0.01  0.05 -0.01  0.08 -0.02  0.07  0.03  0.06  0.02  0.07 -0.04  0.15 -0.05  0.09
 0.04  0.06  0.03  0.13  0.05  0.04  0.04  0.04  0.04  0.03  0.03  0.04  0.01  0.05  0.00  0.07  0.01  0.07  0.01  0.05  0.11  0.11 -0.05  0.13 -0.02  0.08
-2.62  0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  0.46  0.17  0.52  0.35 -30.0 -30.0  0.13  0.19 -30.0 -30.0 -30.0 -30.0 -0.26  0.31
-0.61  0.05  0.46  0.13  0.06  0.04  0.26  0.04  0.25  0.04  0.18  0.06  0.16  0.07  0.26  0.06  0.01  0.08  0.00  0.06  0.21  0.07  0.67  0.11  0.72  0.07
 0.00  0.05 -0.03  0.11  0.01  0.03  0.00  0.04 -0.01  0.03  0.02  0.03  0.03  0.03  0.03  0.05 -0.02  0.06 -0.02  0.04 -0.04  0.06 -0.05  0.11 -0.02  0.07
-0.23  0.04  0.28  0.10  0.02  0.03  0.23  0.04  0.23  0.02  0.13  0.03  0.11  0.05  0.19  0.06  0.01  0.06  0.01  0.04  0.21  0.06 -0.06  0.13 -0.07  0.06
-0.30  0.04  0.08  0.09  0.01  0.03  0.15  0.04  0.03  0.02  0.04  0.02  0.06  0.03  0.02  0.07 -0.05  0.06 -0.07  0.04 -0.13  0.11 -0.06  0.11  0.10  0.09
-0.26  0.06 -30.0 -30.0  0.01  0.06  0.12  0.05 -0.03  0.08  0.05  0.06  0.08  0.06  0.05  0.04 -0.02  0.10 -0.05  0.06 -0.06  0.10 -0.26  0.20  0.12  0.09
-0.33  0.04  0.06  0.09  0.05  0.04  0.18  0.04  0.07  0.04  0.09  0.02  0.10  0.03  0.05  0.06 -0.03  0.06 -0.06  0.04 -0.01  0.08 -0.09  0.10  0.11  0.07
 0.10  0.06 -0.05  0.14  0.11  0.04  0.08  0.06  0.08  0.03  0.03  0.04  0.03  0.04  0.00  0.06  0.01  0.06  0.04  0.05  0.31  0.13 -0.09  0.13 -0.01  0.09
-0.28  0.04  0.34  0.11  0.07  0.03  0.24  0.05  0.25  0.02  0.14  0.04  0.07  0.06  0.17  0.06  0.01  0.06  0.03  0.04  0.14  0.06 -0.07  0.13 -0.09  0.07
