[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
 0.14  0.08 -0.05  0.16 -0.05  0.05  0.03  0.06  0.11  0.05  0.01  0.05  0.00  0.04  0.04  0.06  0.01  0.07 -0.02  0.06 -0.01  0.07 -0.05  0.16 -0.09  0.09
-0.12  0.11  0.05  0.41 -0.08  0.35  0.03  0.06  0.01  0.10 -0.03  0.21  0.05  0.44  0.22  0.07  0.13  0.09  0.04  0.13 -0.08  0.21  0.29  0.30 -0.05  0.10
-0.48  0.08 -30.0 -30.0  0.11  0.05  0.35  0.08  0.31  0.05  0.23  0.07  0.21  0.11  0.29  0.10  0.03  0.11  0.07  0.08  0.20  0.06 -0.01  0.22 -0.03  0.10
-0.23  0.03  0.11  0.09 -0.03  0.02  0.13  0.03  0.04  0.02  0.03  0.02  0.05  0.03  0.08  0.05 -0.03  0.05 -0.07  0.03  0.00  0.04 -0.13  0.10 -0.02  0.04
 0.14  0.04 -0.12  0.10  0.09  0.04  0.03  0.04  0.02  0.03  0.03  0.02  0.03  0.03 -0.03  0.06 -0.02  0.06 -0.01  0.04  0.06  0.15 -0.01  0.12 -0.02  0.07
-0.18  0.05  0.38  0.11  0.12  0.04  0.31  0.06  0.30  0.05  0.17  0.02  0.14  0.05  0.19  0.08 -0.03  0.10 -0.01  0.04  0.14  0.04 -0.12  0.18 -0.01  0.14
-0.63  0.04 -30.0 -30.0  0.10  0.03  0.38  0.05  0.12  0.05  0.21  0.03  0.24  0.04  0.30  0.06  0.01  0.07  0.04  0.05  0.15  0.21  0.01  0.13 -0.10  0.09
-0.27  0.05  0.30  0.17  0.08  0.06  0.25  0.08  0.24  0.03  0.16  0.06  0.10  0.09  0.19  0.12  0.00  0.08  0.02  0.06  0.21  0.12 -0.02  0.17 -0.11  0.07
-0.47  0.05  0.39  0.11  0.02  0.03  0.24  0.04  0.10  0.04  0.15  0.03  0.13  0.05  0.15  0.07 -0.02  0.07 -0.02  0.05  0.13  0.06 -0.14  0.14 -0.02  0.07
-0.08  0.07  0.27  0.16  0.04  0.07  0.13  0.05  0.16  0.04  0.11  0.07  0.02  0.09  0.14  0.07  0.01  0.08  0.05  0.06  0.20  0.07 -0.04  0.17 -0.10  0.08
-0.07  0.04 -0.04  0.12  0.01  0.03  0.10  0.04  0.03  0.03  0.01  0.03  0.05  0.04  0.02  0.05 -0.02  0.05 -0.02  0.04  0.07  0.16  0.00  0.11  0.12  0.06
-0.50  0.06  0.16  0.14  0.13  0.05  0.27  0.06 -0.13  0.06  0.06  0.03  0.10  0.05  0.02  0.11 -0.10  0.12 -0.09  0.07 -0.14  0.07 -0.13  0.17  0.05  0.15
-0.38  0.05  0.32  0.13  0.07  0.03  0.21  0.04  0.21  0.03  0.14  0.04  0.17  0.06  0.23  0.07 -0.03  0.08  0.01  0.05  0.22  0.10 -0.07  0.15 -0.10  0.07
-1.92  0.12  0.43  0.50 -30.0 -30.0  0.28  0.17 -30.0 -30.0  0.26  0.11  0.33  0.36  0.39  0.38 -0.03  0.40 -0.03  0.14  0.11  0.27  0.08  0.48  0.25 -30.0
 0.11  0.05 -0.02  0.11  0.11  0.04  0.06  0.05  0.08  0.03  0.06  0.03  0.03  0.03  0.00  0.06 -0.02  0.06  0.01  0.04  0.02  0.08 -0.08  0.12  0.02  0.09
-0.21  0.05  0.35  0.11  0.05  0.03  0.21  0.04  0.15  0.02  0.13  0.04  0.06  0.05  0.14  0.05  0.03  0.06 -0.01  0.05  0.15  0.06  0.00  0.17 -0.04  0.06
-0.63  0.05 -30.0 -30.0  0.09  0.04  0.31  0.06  0.30  0.04  0.20  0.05  0.20  0.05  0.27  0.07  0.04  0.07  0.04  0.05  0.18  0.08 -0.03  0.15 -0.12  0.08
-0.27  0.11 -30.0 -30.0  0.05  0.07  0.21  0.13  0.30  0.06  0.19  0.10  0.16  0.14  0.26  0.12  0.04  0.13  0.03  0.10  0.14  0.08 -0.06  0.27 -0.12  0.11
-0.43  0.04  0.15  0.10  0.00  0.04  0.16  0.04  0.06  0.04  0.03  0.03  0.08  0.12  0.06  0.06 -0.02  0.06 -0.06  0.04  0.00  0.04  0.53  0.10  0.76  0.06
-0.34  0.07  0.26  0.18 -0.10  0.08  0.10  0.06  0.09  0.04  0.10  0.10  0.01  0.14  0.13  0.06  0.00  0.09 -0.02  0.08  0.05  0.10  0.06  0.18 -0.07  0.07
 0.06  0.07 -30.0 -30.0  0.01  0.05 -0.01  0.05  0.06  0.04  0.02  0.05  0.01  0.05  0.03  0.08 -0.03  0.07 -0.01  0.07  0.02  0.05 -0.12  0.16 -0.05  0.09
-0.38  0.05  0.13  0.12  0.07  0.03  0.09  0.03 -0.02  0.04  0.04  0.03  0.06  0.05  0.03  0.07 -0.03  0.08 -0.03  0.05  0.11  0.08 -0.11  0.14  0.09  0.07
-0.11  0.10  0.17  0.23 -0.09  0.11  0.09  0.07  0.03  0.08  0.08  0.11 -0.03  0.17  0.04  0.09 -0.01  0.11 -0.01  0.10  0.26  0.18  0.01  0.24 -0.02  0.11
-0.27  0.04  0.08  0.09  0.06  0.05  0.13  0.04 -0.08  0.05  0.05  0.03  0.06  0.04  0.00  0.07 -0.03  0.08 -0.09  0.05 -0.19  0.03 -0.04  0.15  0.09  0.07
 0.33  0.05 -0.19  0.10  0.18  0.04  0.02  0.06  0.00  0.03  0.04  0.02 -0.01  0.03 -0.04  0.07 -0.01  0.06  0.06  0.04  0.21  0.15 -0.16  0.12 -0.15  0.08
-0.71  0.04  0.61  0.12  0.11  0.03  0.41  0.04  0.31  0.03  0.27  0.04  0.29  0.05  0.30  0.05 -0.03  0.07 -0.01  0.04  0.18  0.09  0.03  0.13 -0.05  0.09
-0.68  0.04  0.32  0.11  0.15  0.04  0.22  0.04 -0.14  0.13  0.10  0.03  0.08  0.04  0.04  0.06 -0.02  0.06 -0.05  0.05 -0.10  0.05 -0.15  0.15 -0.03  0.14
 0.25  0.06 -0.16  0.13  0.11  0.05  0.12  0.06  0.08  0.04  0.06  0.03  0.01  0.05  0.01  0.07 -0.01  0.07  0.06  0.05  0.15  0.10 -0.04  0.14  0.00  0.08
-1.00  0.06 -30.0 -30.0 -0.03  0.04  0.34  0.13  0.11  0.03  0.35  0.05  0.29  0.05  0.28  0.06 -0.02  0.08  0.00  0.06  0.23  0.09  0.24  0.16  0.24  0.09
 0.20  0.08 -30.0 -30.0  0.13  0.05 -0.02  0.05  0.04  0.04  0.04  0.06 -0.01  0.06 -0.01  0.09 -0.01  0.09  0.04  0.07  0.10  0.06 -0.06  0.16 -0.08  0.10
 0.15  0.05 -0.15  0.11  0.08  0.05  0.11  0.05  0.09  0.03  0.03  0.03  0.04  0.04 -0.01  0.06 -0.03  0.06  0.01  0.04 -0.13  0.25 -0.05  0.12  0.08  0.08
-0.18  0.06  0.10  0.15  0.00  0.08  0.04  0.06  0.08  0.05  0.04  0.03  0.07  0.04  0.05  0.09  0.00  0.12 -0.04  0.06 -0.05  0.05 -0.03  0.17  0.20  0.07
-0.41  0.05  0.45  0.14  0.06  0.04  0.40  0.07  0.33  0.04  0.19  0.03  0.20  0.05  0.28  0.06  0.02  0.08 -0.01  0.05  0.21  0.06 -0.02  0.16 -0.04  0.07
-0.46  0.05  0.37  0.18  0.11  0.06  0.20  0.08  0.17  0.06  0.08  0.07  0.11  0.09  0.10  0.07  0.03  0.07 -0.01  0.06 -0.09  0.14  0.05  0.17  0.23  0.09
-0.03  0.06  0.08  0.15  0.02  0.05  0.08  0.06  0.07  0.05  0.03  0.05  0.02  0.06  0.03  0.08  0.01  0.09 -0.01  0.06  0.02  0.08 -0.06  0.17 -0.13  0.09
-0.45  0.08  0.51  0.31  0.17  0.20  0.20  0.15  0.23  0.09  0.02  0.14  0.23  0.20  0.09  0.07  0.13  0.07 -0.03  0.10 -0.05  0.15  0.03  0.23  0.23  0.09
 0.07  0.06 -0.11  0.12  0.06  0.03  0.02  0.04  0.00  0.03  0.00  0.03 -0.02  0.03  0.00  0.06 -0.02  0.06  0.02  0.05  0.00  0.04 -0.10  0.12 -0.10  0.07
-0.52  0.04  0.49  0.10  0.09  0.03  0.35  0.04  0.25  0.03  0.22  0.03  0.22  0.04  0.25  0.04  0.01  0.06  0.01  0.04  0.39  0.09 -0.02  0.11 -0.03  0.06
-0.56  0.05 -30.0 -30.0  0.10  0.04  0.31  0.05  0.32  0.03  0.18  0.04  0.20  0.05  0.26  0.07 -0.01  0.08  0.01  0.05  0.10  0.07  0.55  0.13  0.77  0.05
 0.09  0.30  0.13  0.47 -0.09  0.35 -0.05  0.24  0.03  0.25  0.06  0.26 -0.10  0.39  0.05  0.13  0.04  0.14  0.05  0.13  0.07  0.19  0.01  0.36 -0.08  0.23
-0.28  0.04  0.12  0.11 -0.02  0.03  0.13  0.04 -0.02  0.06  0.02  0.02  0.05  0.04  0.00  0.07 -0.08  0.08 -0.07  0.04 -0.12  0.05 -0.10  0.14  0.06  0.09
 0.12  0.08 -0.11  0.14  0.04  0.05  0.12  0.08  0.12  0.05  0.05  0.04  0.06  0.06  0.02  0.09 -0.02  0.08 -0.02  0.05  0.00  0.07 -0.02  0.17  0.08  0.11
-0.55  0.04  0.58  0.11  0.11  0.03  0.44  0.05  0.36  0.05  0.25  0.04  0.22  0.06  0.25  0.06  0.01  0.07  0.02  0.05  0.19  0.06 -0.09  0.13 -0.15  0.09
-0.43  0.04  0.37  0.08  0.13  0.02  0.26  0.03  0.15  0.03  0.16  0.02  0.15  0.04  0.20  0.04 -0.03  0.05 -0.01  0.04  0.16  0.12  0.28  0.09  0.02  0.07
-1.14  0.05  0.46  0.19  0.01  0.09  0.35  0.06 -30.0 -30.0  0.19  0.04  0.18  0.05  0.20  0.12 -0.04  0.16  0.00  0.06  0.09  0.09 -0.09  0.22 -0.20  0.15
-0.39  0.05  0.45  0.10  0.05  0.02  0.27  0.03  0.22  0.04  0.17  0.03  0.13  0.04  0.21  0.06  0.01  0.06  0.00  0.04  0.23  0.06 -0.04  0.12 -0.09  0.07
-0.80  0.05  0.61  0.16  0.10  0.04  0.38  0.04  0.32  0.05  0.23  0.06  0.26  0.09  0.28  0.09 -0.01  0.11 -0.01  0.06  0.29  0.08 -0.02  0.21 -0.11  0.11
-0.25  0.12 -30.0 -30.0 -0.03  0.10 -0.10  0.15  0.15  0.08  0.07  0.16  0.01  0.19  0.11  0.13  0.01  0.12  0.00  0.12  0.05  0.10 -0.01  0.26 -0.10  0.11
 0.21  0.05 -0.16  0.11  0.09  0.03 -0.01  0.04  0.01  0.04 -0.01  0.03 -0.03  0.03 -0.01  0.05 -0.02  0.05  0.03  0.04  0.13  0.13 -0.06  0.10 -0.04  0.07
-1.02  0.05  0.55  0.13 -0.05  0.04  0.30  0.06  0.00  0.03  0.15  0.03  0.24  0.05  0.15  0.07  0.02  0.08 -0.10  0.05  0.10  0.07 -0.03  0.13 -0.09  0.11
-1.06  0.06  0.64  0.16  0.08  0.05  0.43  0.07  0.16  0.07  0.27  0.06  0.26  0.06  0.25  0.07  0.03  0.10 -0.02  0.06  0.08  0.09 -0.06  0.15 -0.01  0.13
 0.13  0.05 -0.10  0.12  0.06  0.04  0.13  0.06  0.08  0.04  0.02  0.03  0.06  0.05  0.01  0.07  0.02  0.07 -0.04  0.05  0.21  0.19 -0.07  0.13  0.01  0.08
-0.42  0.06  0.14  0.15  0.03  0.04  0.17  0.04  0.04  0.05  0.06  0.05  0.05  0.06  0.05  0.08 -0.02  0.08 -0.03  0.06  0.00  0.10 -0.17  0.17 -0.09  0.10
-0.12  0.04  0.11  0.10 -0.02  0.02  0.05  0.04 -0.01  0.03  0.01  0.04  0.01  0.03 -0.01  0.06 -0.01  0.05 -0.04  0.04  0.02  0.09 -0.14  0.11 -0.05  0.07
-0.40  0.07  0.33  0.24 -0.04  0.12  0.15  0.03  0.15  0.04  0.10  0.12  0.02  0.19  0.15  0.05  0.08  0.13  0.01  0.10  0.17  0.24  0.36  0.22  0.31  0.07
-0.10  0.08  0.04  0.18  0.00  0.06  0.02  0.05  0.04  0.04  0.05  0.07  0.03  0.08  0.02  0.09  0.00  0.10  0.00  0.07  0.04  0.08 -0.06  0.20 -0.01  0.09
-0.68  0.04  0.35  0.13  0.15  0.04  0.22  0.03 -0.09  0.03  0.06  0.03  0.13  0.04  0.12  0.09 -0.02  0.11 -0.06  0.05 -0.11  0.05 -0.11  0.16 -0.08  0.13
-0.82  0.05  0.47  0.14  0.12  0.05  0.45  0.06  0.35  0.04  0.27  0.06  0.31  0.07  0.30  0.04 -0.01  0.06  0.00  0.05  0.33  0.13  0.00  0.12 -0.13  0.09
-0.35  0.04  0.21  0.13  0.02  0.04  0.24  0.05  0.20  0.04  0.11  0.05  0.13  0.05  0.17  0.04  0.00  0.04 -0.01  0.04  0.12  0.06  0.01  0.11 -0.08  0.06
-0.41  0.05  0.41  0.12  0.04  0.03  0.23  0.04  0.18  0.04  0.15  0.04  0.15  0.06  0.21  0.07  0.01  0.08 -0.01  0.05  0.17  0.06 -0.03  0.15 -0.09  0.08
-0.43  0.04 -30.0 -30.0  0.02  0.04  0.11  0.02  0.01  0.02  0.03  0.03  0.07  0.03  0.04  0.05  0.00  0.05 -0.06  0.04 -0.13  0.04 -0.05  0.10 -0.02  0.06
-0.35  0.04  0.15  0.12 -0.02  0.04  0.20  0.05  0.05  0.03  0.06  0.04  0.08  0.04  0.09  0.06 -0.04  0.07 -0.05  0.04 -0.02  0.06 -0.14  0.14 -0.04  0.08
-1.27  0.05  0.51  0.13 -0.10  0.08  0.29  0.03 -30.0 -30.0  0.18  0.04  0.23  0.04  0.22  0.08  0.00  0.11 -0.11  0.05 -0.26  0.05 -0.12  0.15 -0.26  0.13
-1.14  0.05  0.63  0.13 -0.01  0.05  0.40  0.03  0.22  0.05  0.28  0.04  0.26  0.04  0.28  0.06  0.03  0.11 -0.03  0.05  0.30  0.10  0.15  0.13 -0.03  0.12
-0.68  0.05  0.51  0.15  0.07  0.05  0.36  0.08  0.31  0.05  0.21  0.06  0.26  0.09  0.29  0.06  0.01  0.07  0.02  0.06  0.12  0.19 -0.01  0.16 -0.10  0.08
-0.77  0.06  0.57  0.25  0.03  0.15  0.33  0.05  0.28  0.07  0.22  0.14  0.21  0.31  0.43  0.05  0.12  0.05  0.04  0.10  0.29  0.16  0.14  0.23 -0.10  0.09
 0.14  0.06 -0.05  0.13  0.05  0.04 -0.02  0.05  0.05  0.03  0.01  0.04 -0.01  0.04  0.01  0.07 -0.01  0.07  0.02  0.05 -0.02  0.06 -0.03  0.13  0.00  0.08
 0.25  0.29 -30.0 -30.0  0.14  0.18 -0.05  0.18  0.03  0.24  0.07  0.21 -0.08  0.13  0.03  0.09  0.03  0.14  0.09  0.12  0.05  0.17  0.00  0.22 -0.06  0.22
-0.84  0.05  0.62  0.14  0.06  0.02  0.37  0.04  0.22  0.05  0.24  0.05  0.26  0.07  0.28  0.07  0.01  0.09 -0.01  0.06 -0.03  0.15  0.05  0.16 -0.03  0.10
-0.19  0.09 -30.0 -30.0 -0.02  0.05 -0.05  0.09  0.08  0.06  0.01  0.10 -0.01  0.10  0.07  0.09  0.03  0.11 -0.02  0.09  0.00  0.08 -0.05  0.20 -0.07  0.10
-0.86  0.04  0.39  0.14 -0.09  0.04  0.22  0.04 -0.05  0.11  0.09  0.04  0.14  0.05  0.12  0.08  0.02  0.09 -0.08  0.06 -0.03  0.10 -0.13  0.16 -0.09  0.12
-0.10  0.04  0.03  0.11  0.04  0.04  0.07  0.05  0.11  0.03  0.02  0.03  0.05  0.02  0.00  0.05 -0.02  0.06 -0.04  0.05 -0.02  0.04 -0.09  0.11  0.07  0.06
-0.58  0.05 -30.0 -30.0  0.07  0.04  0.17  0.03  0.07  0.03  0.07  0.04  0.08  0.03  0.08  0.06  0.01  0.06 -0.02  0.05  0.05  0.07 -0.13  0.13 -0.07  0.08
-1.43  0.06  0.67  0.16  0.02  0.10  0.56  0.06  0.57  0.11  0.68  0.03  0.24  0.05  0.27  0.09  0.03  0.14  0.18  0.06  0.18  0.09  0.41  0.16  0.21  0.24
 0.07  0.09  0.07  0.18  0.04  0.08  0.02  0.08  0.06  0.05  0.07  0.07 -0.02  0.09  0.01  0.10  0.01  0.10  0.03  0.07 -0.45  0.26 -0.06  0.19 -0.09  0.11
-0.07  0.18  0.18  0.46 -0.07  0.38  0.05  0.14  0.04  0.14  0.04  0.24  0.02  0.48  0.12  0.10  0.04  0.17  0.04  0.15  0.05  0.21  0.12  0.35 -0.08  0.14
-0.74  0.05  0.57  0.18  0.11  0.06  0.39  0.07  0.38  0.05  0.29  0.07  0.29  0.09  0.28  0.04  0.03  0.07  0.05  0.06  0.22  0.10  0.43  0.14  0.51  0.07
-0.73  0.04  0.61  0.13  0.10  0.04  0.38  0.04  0.28  0.06  0.20  0.03  0.26  0.06  0.25  0.07 -0.04  0.09  0.00  0.05  0.14  0.08 -0.20  0.16 -0.09  0.14
-0.34  0.05 -30.0 -30.0  0.01  0.03  0.06  0.03 -0.03  0.07  0.02  0.04  0.07  0.04  0.07  0.08 -0.02  0.08 -0.03  0.05 -0.04  0.03 -0.11  0.14  0.16  0.08
 0.11  0.06 -0.08  0.12  0.06  0.05  0.05  0.06 -0.08  0.04  0.02  0.03  0.01  0.04  0.00  0.08 -0.03  0.07  0.01  0.05  0.18  0.16 -0.08  0.15 -0.04  0.09
-0.50  0.07  0.26  0.28 -0.04  0.18  0.22  0.07  0.20  0.09  0.14  0.14  0.08  0.32  0.21  0.05  0.02  0.08 -0.01  0.11  0.17  0.19  0.20  0.26 -0.16  0.09
-0.44  0.05  0.42  0.12  0.03  0.03  0.31  0.05  0.17  0.03  0.15  0.04  0.16  0.05  0.29  0.05  0.04  0.07  0.02  0.05  0.34  0.08  0.01  0.12 -0.11  0.06
-1.75  0.05  0.63  0.19 -0.09  0.04  0.43  0.03 -30.0 -30.0  0.21  0.05  0.29  0.06  0.21  0.11  0.03  0.17 -0.03  0.09 -30.0 -30.0 -0.17  0.19 -0.33  0.17
 0.10  0.06 -0.38  0.14  0.06  0.04  0.07  0.05  0.09  0.04  0.01  0.04 -0.01  0.04 -0.02  0.06  0.00  0.06  0.00  0.05 -0.07  0.18 -0.16  0.12 -0.09  0.08
-0.61  0.04  0.20  0.10  0.12  0.03  0.20  0.03 -0.18  0.03  0.05  0.03  0.08  0.04  0.05  0.06 -0.03  0.08 -0.06  0.05 -30.0 -30.0 -0.15  0.11 -0.02  0.09
-0.70  0.06 -30.0 -30.0  0.11  0.04  0.38  0.16  0.27  0.05  0.27  0.11  0.21  0.16  0.30  0.06  0.11  0.10  0.05  0.08  0.21  0.11 -0.03  0.20 -0.09  0.09
 0.04  0.06 -30.0 -30.0  0.04  0.07 -0.08  0.03 -30.0 -30.0  0.02  0.03  0.02  0.05 -0.05  0.11 -0.03  0.10 -0.06  0.06 -0.14  0.03  0.02  0.18  0.12  0.07
-1.25  0.06  0.49  0.14 -0.16  0.04  0.38  0.06  0.00  0.16  0.17  0.05  0.29  0.04  0.21  0.05 -0.03  0.06 -0.10  0.06  0.03  0.15 -0.17  0.10 -0.11  0.13
-0.58  0.05  0.22  0.18  0.08  0.04  0.23  0.05  0.18  0.03  0.12  0.06  0.09  0.05  0.05  0.06 -0.04  0.07 -0.03  0.06  0.05  0.10 -0.17  0.16 -0.01  0.09
-1.53  0.06 -30.0 -30.0 -0.12  0.04  0.25  0.09 -30.0 -30.0  0.24  0.05  0.33  0.07  0.46  0.08  0.06  0.12 -0.03  0.07  0.09  0.08  0.20  0.16 -0.10  0.38
-0.45  0.06  0.50  0.15  0.06  0.05  0.23  0.06  0.29  0.04  0.20  0.07  0.13  0.09  0.29  0.06  0.03  0.07  0.04  0.06  0.20  0.15  0.06  0.14 -0.14  0.08
-0.62  0.05  0.51  0.14  0.00  0.04  0.26  0.04  0.22  0.05  0.19  0.07  0.13  0.08  0.23  0.05  0.04  0.06  0.00  0.06  0.26  0.07  0.06  0.13 -0.08  0.07
-0.77  0.05 -30.0 -30.0  0.12  0.02  0.34  0.06  0.14  0.04  0.21  0.06  0.22  0.05  0.28  0.06  0.06  0.07  0.02  0.05  0.17  0.08 -0.05  0.14 -0.11  0.10
 0.15  0.07 -30.0 -30.0  0.05  0.04  0.01  0.04  0.04  0.04  0.00  0.04 -0.03  0.04  0.01  0.07 -0.01  0.07  0.00  0.06  0.02  0.05 -0.05  0.14 -0.03  0.09
-0.29  0.05 -30.0 -30.0  0.01  0.06 -0.05  0.03 -30.0 -30.0  0.00  0.03  0.07  0.05  0.03  0.12 -0.05  0.13 -0.10  0.06 -0.16  0.03  0.04  0.17  0.39  0.15
-0.13  0.16 -30.0 -30.0 -0.01  0.13  0.06  0.24  0.18  0.08  0.14  0.18  0.01  0.22  0.12  0.13  0.09  0.13  0.04  0.18  0.16  0.13  0.10  0.36 -0.08  0.17
-0.63  0.04  0.43  0.11  0.09  0.02  0.33  0.04  0.25  0.04  0.20  0.03  0.25  0.04  0.29  0.05 -0.01  0.06 -0.01  0.04  0.24  0.11 -0.01  0.11 -0.06  0.08
-0.60  0.05 -30.0 -30.0  0.11  0.03  0.31  0.08  0.28  0.04  0.23  0.07  0.22  0.08  0.31  0.08  0.08  0.09  0.04  0.06  0.19  0.09 -0.02  0.18 -0.13  0.09
 0.13  0.07 -30.0 -30.0  0.12  0.04 -0.01  0.05  0.08  0.04  0.03  0.05  0.01  0.04 -0.02  0.06  0.00  0.06  0.05  0.05  0.02  0.07 -0.07  0.13 -0.08  0.09
-0.70  0.05  0.36  0.13  0.10  0.02  0.27  0.04  0.21  0.04  0.15  0.03  0.18  0.05  0.20  0.07 -0.04  0.07 -0.03  0.05  0.08  0.10 -0.17  0.16 -0.16  0.12
-0.42  0.04  0.54  0.09  0.15  0.03  0.37  0.04  0.16  0.04  0.21  0.02  0.19  0.04  0.23  0.06 -0.05  0.07 -0.01  0.04  0.15  0.13 -0.18  0.11 -0.07  0.12
-0.31  0.05 -30.0 -30.0 -0.04  0.04  0.15  0.04  0.14  0.03  0.05  0.04  0.10  0.03  0.12  0.06 -0.01  0.06 -0.05  0.05 -0.02  0.06 -0.15  0.12 -0.05  0.07
 0.00  0.05  0.02  0.12  0.05  0.03  0.09  0.05  0.02  0.04  0.03  0.03  0.02  0.04 -0.01  0.07 -0.03  0.06 -0.01  0.05 -0.01  0.05 -0.10  0.13 -0.02  0.07
-0.13  0.05  0.14  0.12 -0.03  0.03  0.10  0.04  0.13  0.03  0.06  0.04  0.06  0.05  0.10  0.07  0.00  0.07 -0.03  0.05  0.04  0.06 -0.02  0.13  0.07  0.06
-0.13  0.06  0.18  0.18 -0.12  0.12  0.02  0.06  0.04  0.05  0.03  0.09 -0.02  0.17  0.17  0.04  0.04  0.07 -0.02  0.07 -0.01  0.11  0.16  0.23 -0.11  0.05
-0.21  0.09 -30.0 -30.0 -0.03  0.05 -0.02  0.08  0.08  0.08  0.03  0.09  0.03  0.09  0.07  0.11  0.03  0.11 -0.02  0.09  0.01  0.08 -0.07  0.22 -0.06  0.10
 0.25  0.06 -0.14  0.11  0.07  0.05  0.01  0.06  0.05  0.04  0.00  0.03  0.06  0.03  0.04  0.05  0.00  0.10 -0.01  0.05 -0.06  0.04 -0.02  0.10  0.09  0.13
-0.45  0.06 -30.0 -30.0  0.18  0.07  0.28  0.17  0.38  0.06  0.27  0.08  0.20  0.08  0.36  0.03  0.06  0.05  0.05  0.06  0.19  0.16  0.10  0.11 -0.11  0.07
-0.03  0.09  0.10  0.18 -0.05  0.06  0.06  0.09  0.08  0.05  0.07  0.08 -0.01  0.07  0.04  0.06  0.02  0.08  0.00  0.07  0.00  0.09  0.03  0.15 -0.05  0.10
-0.22  0.05  0.14  0.12 -0.06  0.03  0.17  0.04  0.12  0.02  0.05  0.04  0.05  0.06  0.07  0.06 -0.01  0.07 -0.04  0.05 -0.01  0.07 -0.10  0.14 -0.01  0.06
-0.66  0.08  0.62  0.18  0.03  0.09  0.33  0.07  0.29  0.06  0.22  0.10  0.14  0.15  0.31  0.05  0.04  0.07  0.02  0.08  0.21  0.14  0.27  0.18 -0.20  0.12
 0.31  0.06 -0.17  0.16  0.12  0.06  0.08  0.07  0.05  0.05  0.05  0.04  0.01  0.04  0.03  0.08  0.02  0.07  0.07  0.06  0.10  0.13 -0.01  0.14 -0.07  0.09
 0.35  0.09 -30.0 -30.0  0.05  0.05 -0.08  0.06  0.06  0.06  0.01  0.07 -0.04  0.06  0.00  0.08  0.01  0.08  0.04  0.07  0.00  0.11 -0.09  0.16 -0.02  0.13
-0.10  0.04 -0.06  0.10 -0.02  0.05  0.01  0.04 -0.05  0.05  0.00  0.03  0.03  0.04 -0.01  0.08 -0.03  0.08 -0.09  0.04 -0.05  0.11 -0.04  0.14  0.10  0.06
-0.76  0.04  0.59  0.12  0.10  0.03  0.38  0.04  0.30  0.03  0.26  0.04  0.27  0.07  0.28  0.07  0.03  0.08 -0.02  0.05  0.24  0.08  0.08  0.15 -0.07  0.09
-0.44  0.05  0.50  0.14  0.04  0.05  0.21  0.04  0.26  0.03  0.20  0.06  0.13  0.09  0.27  0.07  0.04  0.07  0.04  0.06  0.28  0.09  0.06  0.16 -0.10  0.07
-1.82  0.06  0.55  0.19 -30.0 -30.0  0.32  0.04 -30.0 -30.0  0.12  0.06  0.20  0.05  0.23  0.10 -0.05  0.13 -0.10  0.09 -30.0 -30.0 -0.37  0.24 -0.33  0.15
 0.07  0.05 -0.07  0.11  0.03  0.03  0.01  0.04  0.04  0.03  0.02  0.03 -0.01  0.04  0.01  0.06  0.01  0.06  0.01  0.05  0.02  0.07 -0.06  0.11 -0.01  0.07
-0.70  0.05  0.34  0.15  0.19  0.05  0.19  0.05 -30.0 -30.0  0.08  0.03  0.15  0.06  0.08  0.10 -0.05  0.12 -0.03  0.06 -0.04  0.06 -0.12  0.20  0.06  0.17
-0.50  0.06 -30.0 -30.0  0.04  0.03  0.04  0.05  0.10  0.05  0.04  0.06  0.07  0.05  0.12  0.07  0.03  0.09 -0.02  0.06  0.00  0.06 -0.11  0.15  0.07  0.07
-0.12  0.06  0.09  0.14 -0.03  0.04  0.10  0.06  0.03  0.04  0.02  0.05  0.03  0.08  0.04  0.08  0.00  0.08 -0.02  0.06 -0.02  0.19 -0.04  0.16  0.00  0.07
-0.02  0.07  0.00  0.14  0.01  0.04 -0.01  0.05 -0.01  0.05  0.02  0.05  0.01  0.06  0.01  0.08  0.00  0.08  0.01  0.06  0.12  0.10  0.06  0.15  0.05  0.08
-0.64  0.04  0.55  0.09  0.14  0.03  0.41  0.04  0.22  0.06  0.24  0.02  0.24  0.04  0.23  0.04 -0.01  0.05  0.00  0.04  0.29  0.14 -0.10  0.10 -0.09  0.09
-0.05  0.04  0.05  0.11  0.06  0.04  0.01  0.03  0.00  0.02  0.02  0.04  0.01  0.03 -0.01  0.07 -0.03  0.06 -0.04  0.04  0.15  0.09 -0.08  0.12 -0.06  0.06
-0.65  0.05  0.50  0.12  0.08  0.04  0.30  0.05  0.18  0.04  0.20  0.05  0.20  0.04  0.21  0.05 -0.02  0.08  0.00  0.06  0.18  0.08  0.02  0.11 -0.08  0.09
-0.59  0.04  0.30  0.14  0.02  0.04  0.32  0.10  0.23  0.05  0.18  0.03  0.20  0.05  0.19  0.07 -0.04  0.08 -0.01  0.04  0.17  0.09 -0.13  0.16 -0.03  0.08
 0.09  0.06 -0.04  0.13  0.04  0.04  0.02  0.05  0.05  0.03  0.02  0.04 -0.01  0.04 -0.03  0.07 -0.01  0.07  0.00  0.05 -0.08  0.07 -0.14  0.14 -0.05  0.09
